r,l,t
9635.333273649216,1641,5.678237438201904
5142.179569840431,4500,20.7442045211792
4147.133210480213,436,22.38774609565735
3646.290038585663,366,23.755154371261597
5179.173680245876,4500,38.84722185134888
5069.139950692654,561,40.77231502532959
9339.111075341702,2974,50.355576038360596
9641.055520653725,1616,56.096681118011475
1029.1947658658028,86,56.47521471977234
4352.972154855728,388,57.88205289840698
3631.112971305847,387,59.2751989364624
649.7681248188019,73,59.581839084625244
2447.301845550537,367,60.88667392730713
9607.277739465237,1768,66.92743039131165
9814.166630029678,837,69.81656694412231
1029.1947678923607,90,70.18118262290955
3635.855807840824,366,71.49772882461548
3741.1466990709305,346,72.76594114303589
9833.166634202003,751,75.4362313747406
648.8195563554764,71,75.73940801620483
1028.2461982369423,90,76.10316157341003
5131.745357453823,4500,91.12581396102905
1031.0919016599655,126,91.60656762123108
3635.8558012247086,372,92.95472025871277
9643.611071586609,1604,98.42447113990784
9614.944383859634,1733,104.15980696678162
9676.999932169914,1454,109.08181095123291
645.9738557338715,72,109.3780665397644
9876.833301007748,555,111.34322738647461
9843.277746200562,706,113.8371970653534
1029.1947622299194,91,114.19802284240723
4165.155971109867,348,115.46894383430481
9778.222148239613,998,118.913503408432
9831.555495679379,758,121.53766369819641
3639.6500744223595,416,122.98876976966858
9873.555521190166,569,124.96539545059204
647.8709896206856,69,125.26187539100647
9776.49994468689,1006,128.7023675441742
3635.855797469616,334,129.89007019996643
648.8195562362671,70,130.18154525756836
1031.0919016003609,90,130.54069900512695
644.0767263770103,69,130.82360816001892
1032.0404683351517,104,131.2347378730774
5166.842331111431,4500,147.047842502594
3638.7015104293823,860,149.97210693359375
3642.495764017105,356,151.249920129776
9802.7221519351,888,154.38385820388794
9734.277770638466,1196,158.58703231811523
3638.7015056610107,664,160.9768807888031
9712.611081242561,1294,165.48303937911987
9819.055514395237,815,168.35620212554932
3638.7015021443367,366,169.7397656440735
5064.397121667862,511,171.7347869873047
3642.495781838894,452,173.6143832206726
649.76812261343,72,173.92126870155334
4243.887000739574,434,175.62413239479065
9842.833304226398,708,178.3325436115265
645.025293469429,67,178.6815643310547
1030.143330514431,91,179.06884026527405
9760.777776181698,1077,183.01783156394958
4147.133199334145,400,184.4779782295227
9854.277742266655,656,186.96865916252136
3642.495767593384,289,188.0759174823761
9847.666637659073,686,190.67285752296448
5191.505054354668,4500,205.83205580711365
3642.4957726597786,383,207.10007500648499
9574.166603147984,1917,213.45360040664673
9511.166638314724,2200,220.75745820999146
9617.111068964005,1723,226.5558979511261
9834.388847529888,746,229.1707546710968
9689.333305716515,1398,233.98386335372925
3642.4957736730576,357,235.28638219833374
649.7681248188019,73,235.591046333313
3635.8558048009872,421,237.09179854393005
9501.94439202547,2242,244.74736046791077
9506.888830184937,2219,252.30689644813538
9615.166624963284,1732,258.16478538513184
9439.055498361588,2525,266.6466591358185
649.7681223154068,72,266.9420073032379
9609.333325624466,1758,272.9130525588989
646.9224264621735,71,273.2148871421814
9730.38882470131,1214,277.39856910705566
9624.111076056957,1692,283.1427037715912
5067.2428205013275,553,285.1083331108093
1029.1947656273842,88,285.4676744937897
5071.037084341049,453,287.1039443016052
9813.333302795887,840,290.006142616272
645.9738566279411,72,290.3047978878021
4242.938438534737,362,291.6066472530365
9689.166611552238,1399,296.4183690547943
3639.6500714421272,543,298.30907011032104
5867.833036661148,4500,313.34426617622375
9658.94437211752,1535,318.53962874412537
3633.010102212429,375,319.87637591362
3633.9586731791496,349,321.1148681640625
3635.8558028936386,311,322.2436435222626
4147.133215069771,382,323.5947196483612
1030.143332183361,89,323.9577634334564
9531.99993121624,2106,330.86885690689087
5071.0370916724205,468,332.55548906326294
3638.701504766941,519,334.3629746437073
9803.99997407198,882,337.3839590549469
9547.666608333588,2036,343.92739510536194
3639.6500697135925,361,345.13552474975586
9518.94441717863,2165,352.49539494514465
3635.8558045625687,336,353.70232248306274
3748.735233902931,355,354.96872448921204
9696.944374203682,1364,359.4410762786865
9498.66663068533,2256,366.6514823436737
3642.4957671761513,366,367.9428722858429
645.0252923965454,73,368.23172402381897
3639.6500741243362,494,369.969388961792
9804.111078619957,882,373.0428192615509
9506.72219467163,2220,380.17373418807983
3642.4957661032677,365,381.3956367969513
9799.888836324215,901,384.48423504829407
1032.0404685139656,88,384.8263669013977
5156.408099651337,4500,399.59059715270996
9822.611093342304,799,402.3557024002075
5066.294253408909,520,404.2248122692108
5067.242828845978,538,406.12151551246643
3642.4957728385925,378,407.47068214416504
5071.037077188492,462,409.1367242336273
9647.555496931076,1586,414.4734151363373
9597.999949872494,1809,420.58079266548157
9580.888861715794,1886,426.84619760513306
9735.333317279816,1191,430.8896629810333
3638.7015082240105,391,432.21675395965576
3635.8558040857315,345,433.40582275390625
9695.66659373045,1370,438.09606313705444
3635.855803191662,416,439.5671844482422
9695.611071765423,1370,444.27132058143616
648.8195562958717,69,444.55746126174927
1031.0919021964073,87,444.91127586364746
9690.777704298496,1392,449.7147114276886
645.0252934098244,68,450.0053644180298
5171.585153222084,4500,464.37681555747986
3745.889529287815,384,465.7726674079895
3638.7015038132668,345,466.92111325263977
3632.061542570591,376,468.2635154724121
