0.164100% done, reward: 9635.333274
0.614100% done, reward: 7388.756422
0.657700% done, reward: 6308.215351
0.694300% done, reward: 5015.669643
1.144300% done, reward: 4874.539434
1.200400% done, reward: 4939.406273
1.497800% done, reward: 6039.332473
1.659400% done, reward: 6077.075529
1.668000% done, reward: 5067.499376
1.706800% done, reward: 4948.411506
1.745500% done, reward: 4771.066763
1.752800% done, reward: 4255.904433
1.789500% done, reward: 3962.455206
1.966300% done, reward: 4589.657709
2.050000% done, reward: 5112.108601
2.059000% done, reward: 4740.934617
2.095600% done, reward: 4460.102307
2.130200% done, reward: 4400.189339
2.205300% done, reward: 4818.110670
2.212400% done, reward: 4520.304162
2.221400% done, reward: 4287.500297
2.671400% done, reward: 4130.786255
2.684000% done, reward: 3937.055358
2.721200% done, reward: 3923.913176
2.881600% done, reward: 4241.674170
3.054900% done, reward: 4524.477865
3.200300% done, reward: 4782.103969
3.207500% done, reward: 4585.145392
3.263000% done, reward: 4825.676660
3.333600% done, reward: 4824.914034
3.342700% done, reward: 4691.113114
3.377500% done, reward: 4565.843933
3.477300% done, reward: 4792.469072
3.553100% done, reward: 5002.431007
3.594700% done, reward: 4873.432977
3.651600% done, reward: 5073.437879
3.658500% done, reward: 4903.223768
3.759100% done, reward: 4901.357314
3.792500% done, reward: 4857.367720
3.799500% done, reward: 4707.062428
3.808500% done, reward: 4580.304824
3.815400% done, reward: 4449.097221
3.825800% done, reward: 4338.869583
4.275800% done, reward: 4288.781568
4.361800% done, reward: 4270.897269
4.397400% done, reward: 4254.211843
4.486200% done, reward: 4254.583055
4.605800% done, reward: 4254.015435
4.672200% done, reward: 4207.553017
4.801600% done, reward: 4369.466490
4.883100% done, reward: 4525.169033
4.919700% done, reward: 4502.679210
4.970800% done, reward: 4517.860775
5.016000% done, reward: 4434.393752
5.023200% done, reward: 4334.798340
5.066600% done, reward: 4262.841445
5.137400% done, reward: 4265.462790
5.144100% done, reward: 4172.631059
5.153200% done, reward: 4094.068866
5.260900% done, reward: 4094.215162
5.300900% done, reward: 4059.203032
5.366500% done, reward: 4062.194699
5.395400% done, reward: 4011.427072
5.464000% done, reward: 4153.774378
5.914000% done, reward: 4096.991920
5.952300% done, reward: 4024.250676
6.144000% done, reward: 4156.391532
6.364000% done, reward: 4280.921185
6.536300% done, reward: 4281.420540
6.610900% done, reward: 4283.271315
6.750700% done, reward: 4283.353356
6.786400% done, reward: 4255.277756
6.793700% done, reward: 4173.334355
6.835800% done, reward: 4163.118886
7.060000% done, reward: 4163.016417
7.281900% done, reward: 4163.018886
7.455100% done, reward: 4281.543837
7.707600% done, reward: 4391.278127
7.714800% done, reward: 4313.330002
7.890600% done, reward: 4421.411703
7.897700% done, reward: 4345.921917
8.019100% done, reward: 4451.499700
8.188300% done, reward: 4550.972995
8.243600% done, reward: 4560.713935
8.252400% done, reward: 4495.315432
8.297700% done, reward: 4452.173287
8.381700% done, reward: 4453.925344
8.388900% done, reward: 4384.689863
8.425100% done, reward: 4351.503294
8.565000% done, reward: 4446.818711
8.619300% done, reward: 4434.022462
9.069300% done, reward: 4400.501992
9.222800% done, reward: 4491.164792
9.260300% done, reward: 4477.970299
9.295200% done, reward: 4426.911098
9.326300% done, reward: 4376.238972
9.364500% done, reward: 4329.949141
9.373400% done, reward: 4274.952377
9.584000% done, reward: 4275.057933
9.630800% done, reward: 4260.251390
9.682700% done, reward: 4211.915107
9.770900% done, reward: 4215.191197
9.974500% done, reward: 4216.920944
10.010600% done, reward: 4208.732610
10.227100% done, reward: 4209.949796
10.260700% done, reward: 4201.944771
10.296200% done, reward: 4194.750969
10.432600% done, reward: 4280.722741
10.658200% done, reward: 4279.173696
10.694800% done, reward: 4248.156458
10.702100% done, reward: 4192.723671
10.751500% done, reward: 4185.507918
10.839700% done, reward: 4186.862977
11.061700% done, reward: 4187.496435
11.098200% done, reward: 4180.523029
11.188300% done, reward: 4263.160761
11.197100% done, reward: 4216.332931
11.647100% done, reward: 4182.684520
11.727000% done, reward: 4263.254899
11.779000% done, reward: 4274.565313
11.832800% done, reward: 4285.574723
11.870600% done, reward: 4277.817941
11.916800% done, reward: 4288.537119
12.075400% done, reward: 4287.354311
12.256300% done, reward: 4358.162919
12.444900% done, reward: 4426.882997
12.564000% done, reward: 4495.823911
12.603100% done, reward: 4456.235392
12.637600% done, reward: 4446.714916
12.774600% done, reward: 4513.157343
12.816200% done, reward: 4487.422206
12.953200% done, reward: 4552.524566
12.960100% done, reward: 4504.330677
12.968800% done, reward: 4461.974107
13.108000% done, reward: 4461.944297
13.114800% done, reward: 4415.957321
13.564800% done, reward: 4388.704152
13.603200% done, reward: 4381.051597
13.637700% done, reward: 4373.233155
13.675300% done, reward: 4365.497268
13.822900% done, reward: 4365.415442
13.829600% done, reward: 4322.706852
13.838300% done, reward: 4285.302137
13.870700% done, reward: 4278.250122
13.961800% done, reward: 4339.576355
14.003400% done, reward: 4332.802152
14.039900% done, reward: 4326.113352
14.048500% done, reward: 4290.672814
14.198100% done, reward: 4347.874876
14.236300% done, reward: 4315.099582
14.378300% done, reward: 4315.095100
14.387100% done, reward: 4280.506676
14.429500% done, reward: 4274.631439
14.485900% done, reward: 4282.832028
14.634400% done, reward: 4282.799754
14.673800% done, reward: 4276.991984
14.851200% done, reward: 4330.819225
14.992600% done, reward: 4330.824706
15.113500% done, reward: 4330.894197
15.120600% done, reward: 4294.035508
15.129600% done, reward: 4261.747919
15.221400% done, reward: 4261.879107
15.256200% done, reward: 4256.457699
15.291700% done, reward: 4251.215235
15.328400% done, reward: 4246.110072
15.340800% done, reward: 4215.499885
15.380600% done, reward: 4210.765342
15.470700% done, reward: 4210.866465
15.797400% done, reward: 4258.186508
15.849600% done, reward: 4253.144395
15.982000% done, reward: 4303.169064
16.065800% done, reward: 4301.243438
16.191600% done, reward: 4301.310716
16.332100% done, reward: 4301.233075
16.445400% done, reward: 4350.751663
16.560900% done, reward: 4399.333980
16.618100% done, reward: 4378.265328
16.795700% done, reward: 4424.937066
17.245700% done, reward: 4404.645799
17.378000% done, reward: 4404.648941
17.503800% done, reward: 4404.676520
17.953800% done, reward: 4397.901691
18.085200% done, reward: 4398.082495
18.157200% done, reward: 4446.241548
18.189200% done, reward: 4439.781921
18.218500% done, reward: 4413.065604
18.307700% done, reward: 4459.923970
18.757700% done, reward: 4439.664848
18.766700% done, reward: 4410.296953
18.892700% done, reward: 4410.389465
19.049700% done, reward: 4410.287254
19.499700% done, reward: 4402.558021
19.783300% done, reward: 4445.014315
19.849700% done, reward: 4426.064299
19.898400% done, reward: 4420.115216
19.987400% done, reward: 4420.949491
19.994500% done, reward: 4389.258891
20.052200% done, reward: 4434.947937
20.105200% done, reward: 4409.007711
20.194200% done, reward: 4409.280859
20.283200% done, reward: 4409.417664
20.385000% done, reward: 4453.751219
20.418500% done, reward: 4428.415343
20.495700% done, reward: 4428.540090
20.625800% done, reward: 4428.461333
20.747700% done, reward: 4428.426526
21.016900% done, reward: 4428.062267
21.047300% done, reward: 4421.809800
21.148500% done, reward: 4421.868720
21.598500% done, reward: 4418.129257
21.642000% done, reward: 4412.486519
21.684300% done, reward: 4406.934793
21.761900% done, reward: 4407.860420
21.953300% done, reward: 4449.196203
21.993800% done, reward: 4432.998667
22.078400% done, reward: 4475.689594
22.528400% done, reward: 4457.139520
22.596400% done, reward: 4458.203012
22.634800% done, reward: 4442.148518
22.746000% done, reward: 4442.855087
22.786000% done, reward: 4428.260569
22.978000% done, reward: 4428.310619
22.986800% done, reward: 4401.553396
23.082200% done, reward: 4401.735633
23.117700% done, reward: 4396.411747
23.199300% done, reward: 4438.445161
23.234500% done, reward: 4432.869724
23.389500% done, reward: 4472.738402
23.469200% done, reward: 4472.754730
23.824700% done, reward: 4471.200376
23.912300% done, reward: 4471.771623
23.990000% done, reward: 4472.018300
24.080800% done, reward: 4472.086084
24.207400% done, reward: 4511.833327
24.214500% done, reward: 4482.795243
24.260500% done, reward: 4475.733717
24.333200% done, reward: 4476.184219
24.340300% done, reward: 4447.586401
24.347100% done, reward: 4419.433335
24.354300% done, reward: 4391.687309
24.363500% done, reward: 4367.164340
24.372100% done, reward: 4342.983028
24.444800% done, reward: 4343.127754
24.479900% done, reward: 4338.626350
24.929900% done, reward: 4330.217352
25.007800% done, reward: 4369.480482
25.089200% done, reward: 4369.452109
25.539200% done, reward: 4358.331943
25.551700% done, reward: 4334.721041
25.667600% done, reward: 4372.803600
25.721700% done, reward: 4353.155241
25.799400% done, reward: 4353.525122
25.806300% done, reward: 4327.598190
25.814900% done, reward: 4304.712373
26.264900% done, reward: 4298.431966
26.355400% done, reward: 4298.573719
26.397300% done, reward: 4294.539682
26.469200% done, reward: 4332.524950
26.658500% done, reward: 4368.217524
26.692100% done, reward: 4363.865193
26.726300% done, reward: 4359.163844
26.801500% done, reward: 4359.138676
26.848700% done, reward: 4358.914176
26.855800% done, reward: 4334.325168
26.895100% done, reward: 4320.636905
27.042800% done, reward: 4320.943380
27.083700% done, reward: 4316.947952
27.533700% done, reward: 4307.144988
27.573200% done, reward: 4303.334057
27.662600% done, reward: 4303.449554
27.754900% done, reward: 4303.546819
27.836700% done, reward: 4339.356399
27.878000% done, reward: 4319.293020
27.967400% done, reward: 4319.380235
28.417400% done, reward: 4317.681109
28.551400% done, reward: 4352.420442
28.666600% done, reward: 4386.982205
28.673200% done, reward: 4363.184335
29.123200% done, reward: 4348.619307
29.257300% done, reward: 4348.618422
29.289200% done, reward: 4344.575546
29.296300% done, reward: 4321.331798
29.327000% done, reward: 4308.838936
29.614100% done, reward: 4308.814128
29.735800% done, reward: 4342.694457
29.742800% done, reward: 4319.745243
29.790600% done, reward: 4302.419966
29.824900% done, reward: 4298.820643
29.834100% done, reward: 4278.761588
29.840800% done, reward: 4256.598876
29.880500% done, reward: 4245.004297
29.975800% done, reward: 4245.156743
30.092000% done, reward: 4245.278201
30.186300% done, reward: 4245.402351
30.193400% done, reward: 4223.604880
30.643400% done, reward: 4222.389817
30.815900% done, reward: 4223.428369
30.849900% done, reward: 4219.957347
30.953900% done, reward: 4220.606889
31.023600% done, reward: 4212.625077
31.072400% done, reward: 4217.759588
31.522400% done, reward: 4215.518264
