r,l,t
643.1281597614288,73,0.26041364669799805
643.1281597614288,73,0.5732991695404053
645.9738597273827,73,0.8744683265686035
645.9738597273827,73,1.1952917575836182
3743.9923974871635,284,2.254506826400757
3633.9586669802666,391,3.685389280319214
3642.495773613453,364,5.009373426437378
9596.83334261179,1815,11.322226285934448
3642.4957751631737,560,13.293854236602783
9800.66661632061,897,16.413650035858154
9842.05553752184,711,18.992732524871826
5169.688000380993,4500,34.2894983291626
3639.6500738859177,705,36.71485471725464
3631.11297672987,489,38.538426876068115
3633.010114133358,1299,43.09627413749695
1029.1947667598724,93,43.463860511779785
3639.6500757932663,467,45.23426127433777
5069.139958798885,1771,51.60689306259155
5187.710776805878,4500,66.7995593547821
3639.6500720381737,380,68.2275071144104
9610.833310425282,1752,74.55702114105225
9797.611088097095,911,77.87955808639526
5092.854127347469,4500,93.36908435821533
3632.0615637898445,2139,100.85870909690857
5067.24282258749,1952,108.05104184150696
9845.99998140335,693,110.6239743232727
9779.444392740726,993,114.17286610603333
9779.499944627285,993,117.70133972167969
3631.1129752397537,300,118.79460501670837
3633.0101177692413,1648,124.7674400806427
1029.1947656273842,88,125.14232206344604
9802.999940216541,887,128.36301732063293
9797.6110522151,911,131.67903232574463
9825.38883370161,786,134.5667541027069
9818.05550712347,819,137.57828760147095
3635.8558094501495,467,139.23717284202576
3635.8558072447777,339,140.4554443359375
9797.611087322235,911,143.80308437347412
5067.242839455605,1484,149.0635747909546
9841.499956846237,714,151.716863155365
3635.8558024168015,347,152.98386192321777
3633.0101061463356,364,154.3095281124115
1029.194763481617,124,154.80594086647034
9802.999977350235,887,157.9797008037567
643.1281597614288,73,158.2889804840088
9711.27774721384,1300,162.85911464691162
7259.380248963833,1786,169.2587013244629
9632.666641771793,1653,175.19816374778748
5071.037090301514,798,178.04124546051025
9779.388858914375,993,181.52881789207458
3735.455303668976,285,182.56306505203247
5064.397121667862,522,184.44932460784912
4246.732726871967,3762,197.28950214385986
9803.111046850681,886,200.55639386177063
9801.8333157897,892,203.97373509407043
3646.2900347709656,330,205.33117151260376
9736.222220599651,1187,210.00639033317566
649.7681232094765,68,210.39838337898254
5060.602861106396,562,212.9023792743683
9802.833309292793,888,215.9267132282257
9779.444419264793,993,219.56676506996155
4243.88700145483,640,221.93896651268005
9779.499989688396,993,225.59510898590088
5068.1913875341415,441,227.22352004051208
3738.3010029792786,285,228.31734895706177
9842.222215533257,710,230.92892909049988
3740.1981360912323,285,232.0875527858734
1028.246198952198,89,232.47850728034973
3635.8558117747307,383,233.9374053478241
9830.166659295559,765,236.8214225769043
5071.037087440491,440,238.42649841308594
9791.666658341885,938,241.82573437690735
9802.777734816074,888,244.94570183753967
9762.388855218887,1070,248.8347520828247
7722.280744612217,635,251.19113683700562
9734.555507838726,1195,255.44527053833008
1030.1433356404305,87,255.79524612426758
5063.448559880257,555,257.80158519744873
3633.010105073452,378,259.1977508068085
1029.1947680711746,104,259.6418261528015
3642.4957786798477,383,261.07904052734375
5071.037087798119,440,262.6959812641144
3646.2900372743607,347,264.06525111198425
9842.444407105446,709,266.7186553478241
9738.722179532051,1176,270.94081449508667
5004.6374233961105,4500,287.07226848602295
3635.855799973011,341,288.30125880241394
1029.1947647333145,91,288.669944524765
5051.117184579372,4500,304.2636797428131
9853.222190022469,661,306.71357822418213
9779.444426596165,993,310.3544020652771
5116.5682935118675,4500,326.20052433013916
4244.835580706596,1212,330.48785638809204
9656.888875067234,1544,335.8686001300812
647.8709936738014,70,336.16141533851624
1032.040464103222,91,336.5295000076294
8603.499131500721,4500,351.746621131897
5071.037088572979,531,353.75695610046387
3642.49577742815,392,355.2426416873932
9549.333340287209,2028,362.26855182647705
5068.191398859024,1713,368.4665973186493
9741.944392502308,1162,372.677139043808
4661.256319701672,1933,379.4077708721161
3639.650076687336,453,381.1232359409332
9662.444405555725,1519,387.1468360424042
7063.026958346367,4500,403.1303114891052
5075.779923439026,469,404.9395794868469
1030.1433283090591,91,405.33179211616516
5161.1509075164795,4500,421.36302733421326
5070.088515102863,770,424.0865390300751
9831.333291113377,759,426.77423071861267
5182.019396305084,4500,442.8089051246643
5182.967936396599,4500,459.844847202301
9779.44440060854,993,463.4792058467865
9803.111043214798,886,466.71449303627014
9753.722180247307,1109,470.55537700653076
5014.123093247414,4500,486.7520387172699
5070.088523030281,441,488.3963258266449
4239.144177496433,648,490.7882447242737
3640.5986394286156,427,492.33130145072937
3663.3642427921295,373,493.6561322212219
9768.055535435677,1044,497.38302755355835
3632.0615322589874,608,499.57961654663086
9797.555514156818,911,503.0117099285126
9796.444394230843,916,506.315856218338
3646.29003483057,420,507.8305914402008
9821.777717769146,802,510.7447419166565
9845.8332837224,694,513.4187829494476
5075.7799191474915,428,515.067143201828
9820.388867914677,809,518.1690044403076
9857.277695953846,643,520.6114206314087
5113.722574770451,4500,535.8754327297211
5066.294245362282,478,537.8008978366852
9824.27773565054,791,540.6557230949402
9845.888860225677,694,543.1897926330566
9808.77772641182,861,546.2019646167755
9809.222143650055,859,549.3977901935577
9821.611048161983,803,552.2941420078278
9821.777715027332,802,555.1284737586975
9816.999949395657,824,558.236750125885
3633.010108947754,630,560.5961217880249
5108.031181514263,4500,575.6119885444641
9830.055510222912,765,579.1903417110443
5020.7630452513695,4500,595.6602566242218
1032.040464758873,85,596.054324388504
9821.611061811447,803,599.1844379901886
4922.112118065357,4500,615.3706617355347
645.9738557338715,72,615.6834318637848
5120.362555503845,4500,632.7196419239044
9821.444407343864,804,635.6005878448486
9824.277711451054,791,638.4362361431122
5172.533705234528,4500,654.102192401886
5090.008406341076,4500,668.455459356308
9738.944420874119,1175,672.3354859352112
3646.290042281151,466,673.9658918380737
3635.8558091521263,504,675.6709790229797
5117.5168389678,4500,691.5415232181549
9847.611067593098,686,694.0332467556
9845.777746796608,694,696.5564064979553
5086.2141580581665,4500,713.4776203632355
5015.071646809578,4500,729.849752664566
9824.277712583542,791,732.6245279312134
9775.38885730505,1011,736.2611074447632
9800.444430053234,898,739.5876984596252
5175.379407465458,4500,754.7950115203857
3642.49577742815,463,756.5527799129486
4765.598625302315,4500,772.1128771305084
1032.9890344142914,93,772.4977505207062
649.7681221365929,71,772.8128323554993
5016.020214498043,4500,789.8793153762817
4750.421560168266,4500,805.5942451953888
5066.294244647026,478,807.4177231788635
9856.99991708994,644,809.8648245334625
7554.384448766708,633,812.3351311683655
9420.833301782608,2607,821.8965308666229
3642.4957695007324,358,823.2206585407257
5075.779918551445,428,824.8918554782867
3635.85580688715,375,826.2108857631683
9856.888822674751,644,828.519312620163
4150.927479326725,342,829.7643337249756
5066.294249534607,478,831.6097314357758
4246.732706785202,424,833.2089107036591
9824.333275854588,791,835.9760849475861
9875.444411277771,561,838.0125381946564
9858.611092865467,637,840.281468629837
648.8195562958717,69,840.572080373764
1028.2461981773376,91,840.9794127941132
645.9738566875458,71,841.3461027145386
9825.055527031422,788,844.5144784450531
5124.156809389591,4500,862.2329397201538
9821.611047148705,803,865.26486992836
9821.499966740608,804,868.2770183086395
9845.611044943333,695,870.8902900218964
9857.222167789936,643,873.3248429298401
4752.318705379963,4500,889.1121115684509
5118.465405642986,4500,905.2202777862549
1030.14333319664,93,905.6053338050842
5068.191389501095,478,907.4842491149902
5135.539619505405,4500,923.6411619186401
4883.220898509026,4500,940.3233065605164
3642.4957721829414,395,941.8777747154236
5071.037078440189,479,943.8088195323944
9857.166583240032,643,946.4174535274506
4766.547201037407,4500,962.626038312912
9821.777721881866,802,965.7559578418732
9817.166618227959,823,968.7584581375122
9824.944395065308,788,971.6047484874725
4816.821229040623,4500,986.6634159088135
9850.499962806702,673,989.2123296260834
9821.777718603611,802,992.2400569915771
5071.037078380585,478,994.0784060955048
647.8709900975227,66,994.3829374313354
4766.547190487385,4500,1011.7520613670349
5075.779917955399,428,1013.4882283210754
4843.381090462208,4500,1029.9196033477783
5071.037082791328,478,1031.890393257141
1032.040465772152,88,1032.326320886612
5089.059839963913,4500,1048.5250124931335
4240.092740356922,640,1050.9442293643951
3642.4957717061043,372,1052.3649077415466
5171.5851383805275,4500,1068.1050672531128
9857.16658526659,643,1070.5442707538605
4906.935053348541,4500,1085.9171373844147
9817.055499255657,824,1088.8831822872162
9858.722195446491,636,1091.2490401268005
9806.166611969471,873,1094.3965361118317
5069.139944791794,479,1096.3367400169373
9825.111040174961,787,1099.3803079128265
9850.333292126656,674,1101.8926837444305
5122.259685635567,4500,1117.5340650081635
9826.722178578377,780,1120.3975517749786
9856.999921619892,644,1122.7293922901154
5061.551423549652,530,1124.6445994377136
9821.777720749378,802,1127.6943063735962
4813.026954233646,4500,1144.8724539279938
9808.833319664001,861,1148.0600764751434
3646.2900329232216,394,1149.5755198001862
4822.512633919716,4500,1165.3228764533997
9824.222167909145,791,1168.2218985557556
9848.666615307331,681,1170.7293293476105
8368.254605710506,4500,1186.311283826828
9825.055485486984,788,1189.2748053073883
9824.22218966484,791,1192.2610051631927
5070.088509380817,460,1193.9496066570282
9821.49994122982,804,1196.8073978424072
9857.166610956192,643,1199.3092806339264
5167.790886521339,4500,1215.9068751335144
9856.333297014236,647,1218.4496285915375
9724.833298683167,1239,1222.7760632038116
9786.88887989521,959,1226.4642486572266
4242.938452541828,930,1229.8465149402618
646.9224271178246,73,1230.1629893779755
9845.888828992844,694,1232.6673431396484
5066.29425573349,478,1234.4234549999237
9841.833289206028,712,1236.977828502655
9833.888860404491,748,1239.920931339264
9824.388818025589,791,1242.9825594425201
9856.944387495518,644,1245.4317715168
9821.499969542027,804,1248.4275674819946
5070.088518321514,4500,1264.6047744750977
9821.499969542027,804,1267.6433634757996
9826.666599452496,780,1270.435171365738
9824.333320260048,791,1273.254014492035
9829.555546283722,767,1276.0055689811707
9857.055501759052,644,1278.4833006858826
9824.277713119984,791,1281.3867223262787
9845.611088216305,695,1283.890769481659
5121.311112880707,4500,1299.2945535182953
9872.333284676075,575,1301.3869500160217
9857.222152471542,643,1303.878927230835
5066.294244647026,478,1305.7436892986298
1030.14333152771,92,1306.1389701366425
9824.277710139751,791,1309.06973862648
5066.294245004654,478,1310.8944149017334
4869.940948605537,4500,1328.0266509056091
9806.166635096073,873,1331.1326887607574
9857.277729928493,643,1333.5283091068268
5075.779910802841,428,1335.036925315857
5069.1399512887,429,1336.608130455017
9821.722171783447,803,1339.3243627548218
5066.2942489385605,478,1341.1027672290802
5126.053938508034,4500,1356.6239776611328
5071.037082314491,478,1358.425532579422
4861.403860569,4500,1374.5475225448608
4754.215829074383,4500,1390.0526266098022
9817.11105054617,823,1392.9775125980377
5071.037077486515,478,1394.7430491447449
9845.222171366215,697,1397.250608921051
4148.081780552864,398,1398.774376630783
5075.779917895794,428,1400.4212310314178
9824.222166478634,791,1403.3296480178833
9845.888810575008,694,1406.1196036338806
5027.4030148983,4500,1421.629972934723
9850.055505394936,675,1424.0401487350464
5068.191382229328,478,1425.7879257202148
1032.0404638648033,91,1426.1626720428467
4875.632367014885,4500,1441.5641071796417
9845.888844132423,694,1444.0213251113892
9867.94440293312,595,1446.156583070755
9857.166634857655,643,1448.4787402153015
9825.055491149426,788,1451.3096618652344
3633.010111629963,591,1453.4006979465485
5089.059838712215,4500,1468.7104563713074
9857.111064612865,643,1471.0719048976898
4863.3010004758835,4500,1486.1946873664856
5075.779910266399,428,1487.7407186031342
5108.031185388565,4500,1503.877454996109
5120.362540006638,4500,1519.1311795711517
9844.49997639656,700,1521.618957042694
5132.693910241127,4500,1537.1776039600372
9821.44442152977,804,1540.1017792224884
9846.666640877724,690,1542.5392851829529
5075.779910326004,428,1544.106584072113
5174.430838763714,4500,1558.602807044983
9875.333305120468,561,1560.6012399196625
9850.499993383884,673,1562.9753262996674
9824.277714371681,791,1565.7336087226868
9798.05552214384,909,1568.8465313911438
9858.611073434353,637,1571.108836889267
5120.362550139427,4500,1585.2577211856842
5075.779917776585,428,1586.7338061332703
9824.277720689774,791,1589.5083303451538
9857.22214782238,643,1591.786282300949
8781.829638659954,4500,1606.5320966243744
