l,t
1000,3.8491060733795166
2000,7.4065282344818115
3000,10.801226615905762
4000,14.336948156356812
5000,17.914075136184692
6000,21.480686902999878
7000,24.891108751296997
8000,28.264022827148438
9000,31.605196475982666
10000,34.976041078567505
11000,38.51232886314392
12000,42.053576946258545
13000,45.77644753456116
14000,49.30531430244446
15000,53.10297131538391
16000,56.34827470779419
17000,59.62650680541992
18000,62.97486329078674
19000,66.3124349117279
20000,70.01024913787842
21000,73.62241101264954
22000,77.19874811172485
23000,80.86911129951477
24000,84.42676401138306
25000,87.93335461616516
26000,91.1643078327179
27000,94.51074075698853
28000,98.01812291145325
29000,101.54135394096375
30000,105.20235919952393
31000,108.94544434547424
32000,112.58403778076172
33000,116.11259031295776
34000,119.71720480918884
35000,123.34290742874146
36000,127.05685377120972
37000,130.65044713020325
38000,134.31841683387756
39000,138.01375555992126
40000,141.5827350616455
41000,145.266526222229
42000,148.73327660560608
43000,152.44344639778137
44000,156.15534210205078
45000,159.77066683769226
46000,163.26042366027832
47000,166.94020247459412
48000,170.40878415107727
49000,174.0449080467224
50000,177.5667040348053
51000,181.08094120025635
52000,184.72141933441162
53000,188.18684101104736
54000,191.57729983329773
55000,194.94963812828064
56000,198.46249437332153
57000,202.18101286888123
58000,206.09917783737183
59000,210.08231902122498
60000,214.2877447605133
61000,217.74662446975708
62000,221.41175246238708
63000,225.11421132087708
64000,228.8644516468048
65000,232.7158601284027
66000,236.52114295959473
67000,240.11309051513672
68000,243.71682786941528
69000,247.31506156921387
70000,250.9735713005066
71000,254.52157473564148
72000,258.1910684108734
73000,261.9596884250641
74000,265.8166356086731
75000,269.32121205329895
76000,272.9968943595886
77000,276.5933041572571
78000,280.2031042575836
79000,283.68906712532043
80000,287.3228681087494
81000,290.91387391090393
82000,294.3124809265137
83000,297.9085750579834
84000,301.2886016368866
85000,304.768691778183
86000,308.5090084075928
87000,312.22194504737854
88000,315.85129046440125
89000,319.32013750076294
90000,322.7958605289459
91000,326.1063425540924
92000,329.72250413894653
93000,333.1509575843811
94000,336.7773325443268
95000,340.25439524650574
96000,343.79417157173157
97000,347.02695393562317
98000,350.2081124782562
99000,353.89129877090454
100000,357.5214021205902
101000,360.8817603588104
102000,364.55207872390747
103000,368.04707407951355
104000,371.65665769577026
105000,375.3170795440674
106000,378.6975700855255
107000,382.8821671009064
108000,386.50731015205383
109000,390.22426438331604
110000,393.91949462890625
111000,397.51906299591064
112000,400.9012248516083
113000,404.3838777542114
114000,408.230731010437
115000,411.73806834220886
116000,415.2604146003723
117000,418.77502155303955
118000,422.3474473953247
119000,425.8846297264099
120000,429.5162560939789
121000,433.0780656337738
122000,436.63866543769836
123000,440.1287980079651
124000,444.22909808158875
125000,448.5251748561859
126000,452.01315450668335
127000,455.4874110221863
128000,458.93058800697327
129000,462.5698595046997
130000,466.22387194633484
131000,469.699627161026
132000,473.480343580246
133000,477.05621004104614
134000,480.54208159446716
135000,484.02252769470215
136000,487.695157289505
137000,491.4090485572815
138000,494.99799609184265
139000,498.54910588264465
140000,502.247971534729
141000,505.8954060077667
142000,509.5170969963074
143000,513.2898132801056
144000,517.1727900505066
145000,520.9714620113373
146000,524.5718116760254
147000,527.9221522808075
148000,531.2309145927429
149000,534.5032460689545
150000,538.2464642524719
151000,541.86967253685
152000,545.3995108604431
153000,549.0519227981567
154000,552.7073435783386
155000,556.3061618804932
156000,560.0311236381531
157000,563.5468692779541
158000,566.9456679821014
159000,570.2794415950775
160000,573.538966178894
161000,577.2104599475861
162000,581.8133175373077
163000,585.5335252285004
164000,589.2001559734344
165000,592.575385093689
166000,596.0256948471069
167000,600.0629744529724
168000,603.761857509613
169000,607.3847396373749
170000,610.7361743450165
171000,614.2346744537354
172000,618.12739610672
173000,622.2055723667145
174000,626.2884433269501
175000,629.6480331420898
176000,633.197830915451
177000,636.7895002365112
178000,640.3824474811554
179000,643.7560670375824
180000,647.3470277786255
181000,650.7578616142273
182000,654.2278933525085
183000,657.6274359226227
184000,660.7483386993408
185000,663.8756768703461
186000,666.9668817520142
187000,670.249963760376
188000,673.583057641983
189000,677.069548368454
190000,680.3939297199249
191000,684.1345071792603
192000,687.6303441524506
193000,691.1225898265839
194000,694.7747354507446
195000,698.5113260746002
196000,701.9589965343475
197000,705.4939305782318
198000,709.881151676178
199000,713.4622220993042
200000,717.3204231262207
201000,720.9223434925079
202000,724.5586807727814
203000,728.1153922080994
204000,731.6293573379517
205000,735.1769368648529
206000,738.8465683460236
207000,742.65691614151
208000,746.1243257522583
209000,749.1753704547882
210000,752.2869436740875
211000,755.9118890762329
212000,759.7390151023865
213000,763.1165120601654
214000,766.569123506546
215000,769.9852049350739
216000,773.4686100482941
217000,777.2775585651398
218000,781.5368142127991
219000,785.1113889217377
220000,788.6919829845428
221000,792.450281381607
222000,796.0682587623596
223000,799.4712965488434
224000,802.7806253433228
225000,806.3154921531677
226000,810.1503729820251
227000,813.8499503135681
228000,817.5470912456512
229000,821.2184488773346
230000,825.0191612243652
231000,828.5817129611969
232000,832.3535308837891
233000,835.8684515953064
234000,839.4870409965515
235000,843.5120322704315
236000,847.3627202510834
237000,850.9598476886749
238000,855.2390594482422
239000,859.3575236797333
240000,863.2191753387451
241000,866.9948492050171
242000,870.7023282051086
243000,874.534684419632
244000,878.050000667572
245000,881.5222561359406
246000,885.009512424469
247000,888.4585957527161
248000,892.1292548179626
249000,895.6814124584198
250000,899.1828143596649
251000,902.7556624412537
252000,906.4755456447601
253000,910.3413686752319
254000,914.0093464851379
255000,917.698235988617
256000,921.2319302558899
257000,924.603611946106
258000,927.9609253406525
259000,931.7579135894775
260000,935.8711864948273
261000,939.3841819763184
262000,943.2814655303955
263000,947.362740278244
264000,950.9987790584564
265000,954.5333104133606
266000,958.1516571044922
267000,961.606550693512
268000,965.4531004428864
269000,969.1443560123444
270000,972.7249565124512
271000,976.0704476833344
272000,979.4459035396576
273000,982.6883027553558
274000,985.9914796352386
275000,989.753574848175
276000,993.5317258834839
277000,997.3039765357971
278000,1000.7765827178955
279000,1004.4278824329376
280000,1008.9707899093628
281000,1012.9440739154816
282000,1016.8420736789703
283000,1020.5606915950775
284000,1024.194420337677
285000,1027.6633703708649
286000,1031.4248023033142
287000,1035.3265352249146
288000,1038.911238193512
289000,1042.4454064369202
290000,1046.0021395683289
291000,1049.672476053238
292000,1053.4717328548431
293000,1057.024772644043
294000,1060.5424904823303
295000,1064.0212888717651
296000,1067.3739049434662
297000,1071.1301383972168
298000,1074.6922917366028
299000,1078.1706347465515
300000,1081.382344007492
301000,1084.6832189559937
302000,1088.2447361946106
303000,1091.9205284118652
304000,1095.6354598999023
305000,1099.5983228683472
306000,1103.2791323661804
307000,1106.690690279007
308000,1110.113750219345
309000,1113.6209754943848
310000,1117.0358846187592
311000,1120.7608089447021
312000,1124.3282613754272
313000,1128.1527228355408
314000,1132.6589982509613
315000,1136.3763465881348
316000,1139.9723989963531
317000,1143.492213010788
318000,1147.1678369045258
319000,1150.967333316803
320000,1154.5306358337402
321000,1158.060842037201
322000,1161.4121775627136
323000,1164.8396801948547
324000,1168.5069386959076
325000,1172.2269487380981
326000,1175.760089635849
327000,1179.341653585434
328000,1182.6165022850037
329000,1185.8756430149078
330000,1189.690721988678
331000,1193.388479232788
332000,1197.011889219284
333000,1200.9238424301147
334000,1204.4720392227173
335000,1208.280597448349
336000,1212.205307483673
337000,1215.537143945694
338000,1219.4016802310944
339000,1222.8700304031372
340000,1226.7088103294373
341000,1230.3893077373505
342000,1233.9913804531097
343000,1237.6358251571655
344000,1241.603925704956
345000,1245.3563435077667
346000,1249.1790153980255
347000,1253.0031270980835
348000,1256.5276494026184
349000,1260.0282187461853
350000,1263.4740557670593
351000,1267.2171280384064
352000,1270.8371305465698
353000,1274.3888590335846
354000,1278.0871803760529
355000,1281.8132467269897
356000,1285.3600022792816
357000,1288.6964559555054
358000,1292.1203334331512
359000,1295.467904806137
360000,1298.9695117473602
361000,1302.6835074424744
362000,1306.621813774109
363000,1310.3379786014557
364000,1314.039669752121
365000,1317.7479596138
366000,1322.3219861984253
367000,1325.8200614452362
368000,1329.3451607227325
369000,1332.928848028183
370000,1336.5240788459778
371000,1339.9674723148346
372000,1343.6397585868835
373000,1347.0757415294647
374000,1350.4689950942993
375000,1353.8664712905884
376000,1357.3713870048523
377000,1360.9765214920044
378000,1364.7509460449219
