r,l,t
3631.1129692792892,316,1.0820682048797607
3635.8558061122894,387,2.4633915424346924
3743.992398738861,344,3.724973201751709
3639.650077342987,480,5.457509756088257
9779.27777427435,994,8.892285585403442
3639.6500680446625,366,10.249935150146484
3635.8558087944984,439,11.937519550323486
4708.684644579887,1946,18.8237361907959
3646.2900359630585,401,20.355434894561768
4164.207410156727,911,23.589037656784058
1031.091901063919,88,23.948106050491333
1032.0404650568962,89,24.305201530456543
9842.611055135727,709,26.881879329681396
5066.294242799282,4500,42.48005414009094
3646.290033876896,424,43.973999977111816
5002.7402800917625,4500,58.98297357559204
3639.6500768065453,453,60.58124017715454
3642.4957723617554,482,62.309181928634644
3659.569968521595,381,63.68077635765076
4809.232694983482,4500,78.74242854118347
3646.2900390028954,482,80.41023182868958
5067.242808103561,4500,95.51519656181335
9813.277741968632,841,98.52650547027588
9821.83333325386,802,101.3980782032013
1031.0918990969658,92,101.7783727645874
1032.9890307188034,92,102.14405274391174
3641.5472163558006,3082,112.87884521484375
9616.388853609562,1727,119.13722968101501
4238.195599913597,869,122.2314465045929
5020.763054549694,4500,137.54792737960815
3635.855805814266,341,138.758061170578
9826.055543780327,783,141.49648022651672
5016.968788444996,4500,156.54050183296204
3638.7015026807785,351,157.80385947227478
9843.777733325958,703,160.3149974346161
3635.8558101654053,400,161.72820019721985
4979.974697828293,737,164.27186012268066
1028.2461983561516,91,164.6272430419922
4984.717519700527,610,166.7824251651764
3646.2900356650352,393,168.18914794921875
1029.1947652697563,91,168.5468065738678
9719.49994724989,1263,172.85638117790222
3634.907244384289,545,174.849853515625
5124.1568123698235,4500,190.45286750793457
647.8709896206856,69,190.73680186271667
3635.8558000922203,424,192.29127717018127
645.0252931714058,69,192.56710839271545
3635.8558037877083,335,193.78099155426025
9679.55550789833,1442,198.5978193283081
645.9738557338715,72,198.8643729686737
1028.2462022900581,89,199.19479179382324
9707.666636168957,1316,203.8412036895752
3635.8558017611504,451,205.53612565994263
1032.0404656529427,89,205.89465832710266
9438.055542826653,2529,214.67640280723572
5068.191376924515,585,216.85991024971008
3638.701509952545,537,218.76466822624207
5015.071652829647,4500,233.98272132873535
9830.277780294418,764,236.73897075653076
645.9738563895226,69,237.06264352798462
9792.166627049446,936,240.29979181289673
5082.419877409935,4500,255.39019632339478
644.0767257213593,73,255.6963267326355
9528.222218096256,2123,263.03664994239807
5062.499993443489,4500,278.3273494243622
9817.49999678135,822,281.26427483558655
4918.317857325077,4500,296.37302017211914
5068.191414952278,3624,308.6554274559021
645.9738596081734,72,308.9618294239044
647.8709888458252,72,309.2542324066162
650.7166888713837,72,309.56512427330017
9850.333278119564,674,311.9908847808838
5067.242820680141,964,315.4065339565277
645.9738597273827,73,315.7158637046814
3649.1357365846634,385,317.1246008872986
4260.961201250553,401,318.6170971393585
9877.611034750938,551,320.5873820781708
4143.338940382004,404,322.03124475479126
645.0252931714058,69,322.3233344554901
1029.1947668790817,125,322.8141145706177
4163.2588331103325,441,324.43026757240295
3639.650069475174,357,325.7088394165039
3634.9072445631027,2488,334.25506114959717
3638.7015050053596,309,335.41657304763794
3638.7014981508255,439,337.00094652175903
3635.855811357498,1279,341.4157202243805
9709.222202658653,1309,345.9841845035553
3646.2900356650352,346,347.23835158348083
3638.7015114426613,909,350.3775601387024
3635.8558069467545,382,351.77222752571106
1032.9890351295471,119,352.22999143600464
1032.9890339374542,93,352.6296169757843
9566.77771371603,1950,359.3420560359955
9696.555540442467,1366,364.02991914749146
1031.0918954014778,86,364.40022444725037
645.9738565683365,70,364.7009663581848
3646.290038228035,379,366.0852108001709
3744.940967142582,328,367.3600962162018
9826.33329552412,782,370.3213837146759
1032.9890313148499,87,370.71785950660706
4244.83558011055,2126,378.1848978996277
5061.551416397095,487,379.9953496456146
3635.855805873871,323,381.15936946868896
3642.49577242136,458,382.8032352924347
5006.534555852413,4500,398.4489245414734
9842.777716696262,708,400.9952425956726
9843.111084878445,706,403.94202303886414
3642.495764672756,312,405.07767605781555
