0.150900% done, reward: 9664.833288
0.192000% done, reward: 6655.561661
0.233000% done, reward: 5652.471120
0.295800% done, reward: 6704.464433
0.409100% done, reward: 7313.215988
0.450200% done, reward: 6702.061663
0.520500% done, reward: 7150.886185
0.561600% done, reward: 6711.863100
0.639700% done, reward: 8269.181521
0.673200% done, reward: 6721.520486
0.706600% done, reward: 6207.372514
0.747600% done, reward: 6037.062899
0.756900% done, reward: 4368.722088
0.825100% done, reward: 4484.632477
0.887900% done, reward: 4579.833568
