0.007100% done, reward: 645.973857
0.086400% done, reward: 5234.903565
0.270600% done, reward: 6686.843098
0.391400% done, reward: 7448.021207
0.458900% done, reward: 7928.439183
0.526600% done, reward: 7928.394741
0.600100% done, reward: 7927.520664
0.683100% done, reward: 7839.381544
0.713300% done, reward: 7220.963223
1.163300% done, reward: 6247.807671
1.327400% done, reward: 6062.481234
1.450600% done, reward: 5805.807712
1.517200% done, reward: 5885.009118
1.542700% done, reward: 5555.080785
1.613000% done, reward: 5612.497090
1.744100% done, reward: 5372.253182
1.803000% done, reward: 5278.486738
1.896800% done, reward: 5178.054544
1.933700% done, reward: 4934.933732
2.065100% done, reward: 5011.779077
2.184800% done, reward: 5399.400129
2.305100% done, reward: 5542.807764
2.425400% done, reward: 5590.602371
2.482000% done, reward: 5619.557214
2.548600% done, reward: 5636.293612
2.649100% done, reward: 5645.661529
3.099100% done, reward: 5452.825687
3.155400% done, reward: 5398.685285
3.275600% done, reward: 5430.636602
3.386600% done, reward: 5456.487338
3.421400% done, reward: 5398.153223
3.541700% done, reward: 5422.157743
3.598000% done, reward: 5391.210069
4.048000% done, reward: 5312.967252
4.073500% done, reward: 5212.069078
4.241300% done, reward: 5221.209974
4.308100% done, reward: 5245.026696
4.429800% done, reward: 5265.017175
4.544600% done, reward: 5282.907742
4.994600% done, reward: 5225.644833
5.444600% done, reward: 5174.108214
5.501400% done, reward: 5194.648401
5.692800% done, reward: 5211.380101
5.831800% done, reward: 5186.669767
5.891300% done, reward: 5204.083980
6.012100% done, reward: 5219.326325
6.182300% done, reward: 5198.011101
6.302000% done, reward: 5212.362826
6.752000% done, reward: 5176.025313
6.808300% done, reward: 5167.150950
6.860600% done, reward: 5159.410249
6.905900% done, reward: 4979.874460
7.042500% done, reward: 4965.597902
7.070100% done, reward: 4836.721228
7.167500% done, reward: 4879.477544
7.617500% done, reward: 4791.387459
7.656400% done, reward: 4743.729367
7.712700% done, reward: 4737.592735
7.769000% done, reward: 4731.828020
8.219000% done, reward: 4707.776324
8.669000% done, reward: 4685.099011
8.734000% done, reward: 4725.020254
8.842100% done, reward: 4689.942293
9.292100% done, reward: 4628.584289
9.481300% done, reward: 4673.925664
9.622900% done, reward: 4711.518902
9.681800% done, reward: 4689.777147
9.887300% done, reward: 4652.381377
9.926900% done, reward: 4624.852299
9.966500% done, reward: 4601.255946
10.045300% done, reward: 4613.953260
10.202800% done, reward: 4602.978182
10.652800% done, reward: 4582.642632
10.695900% done, reward: 4567.219863
10.703100% done, reward: 4131.525862
10.814000% done, reward: 4142.164860
11.264000% done, reward: 4125.178544
11.289500% done, reward: 4100.792406
11.410600% done, reward: 4111.005964
11.531100% done, reward: 4120.736543
11.981100% done, reward: 4104.866533
12.104800% done, reward: 4107.520278
12.226700% done, reward: 4116.672204
12.676700% done, reward: 4101.925549
12.733000% done, reward: 4099.783467
12.833500% done, reward: 4108.634535
12.955200% done, reward: 4117.017633
12.990100% done, reward: 4111.519266
13.025000% done, reward: 4106.248921
13.062200% done, reward: 4067.082713
13.182400% done, reward: 4074.239924
13.303700% done, reward: 4081.122126
13.753700% done, reward: 4069.730090
13.875300% done, reward: 4076.443016
13.992800% done, reward: 4082.932366
14.108600% done, reward: 4089.200550
14.257800% done, reward: 4084.133204
14.292600% done, reward: 4079.818027
14.742600% done, reward: 4069.586929
14.859600% done, reward: 4075.658672
15.309600% done, reward: 4065.824697
15.427100% done, reward: 4071.761464
15.505700% done, reward: 4077.647777
15.625100% done, reward: 4083.213657
16.075100% done, reward: 4073.861210
16.195400% done, reward: 4079.314475
16.645400% done, reward: 4070.294441
16.762900% done, reward: 4075.650189
16.899300% done, reward: 4080.792915
17.034600% done, reward: 4076.567401
17.090900% done, reward: 4075.125789
17.262100% done, reward: 4071.794054
17.383600% done, reward: 4076.755800
17.833600% done, reward: 4068.611752
17.907600% done, reward: 4073.623541
18.050200% done, reward: 4078.307174
18.500200% done, reward: 4070.456469
18.668600% done, reward: 4066.774087
18.724900% done, reward: 4065.599052
18.843200% done, reward: 4070.217129
18.913400% done, reward: 4074.852990
19.036300% done, reward: 4079.235978
19.161200% done, reward: 4083.509451
19.275700% done, reward: 4087.709431
19.725700% done, reward: 4080.479695
19.795000% done, reward: 4084.733402
20.245000% done, reward: 4077.701797
20.430200% done, reward: 4070.828206
20.564000% done, reward: 4074.888287
20.734000% done, reward: 4078.770735
20.790400% done, reward: 4077.621660
20.910700% done, reward: 4081.509861
21.070900% done, reward: 4078.466026
21.127300% done, reward: 4077.355447
21.236700% done, reward: 4081.150262
21.389300% done, reward: 4078.126041
21.489800% done, reward: 4081.855673
21.939800% done, reward: 4075.634425
22.035400% done, reward: 4079.325214
22.155900% done, reward: 4082.888187
22.298900% done, reward: 4080.075151
22.365300% done, reward: 4083.678434
22.483800% done, reward: 4087.100991
22.933800% done, reward: 4081.185288
22.990100% done, reward: 4080.161619
23.440100% done, reward: 4074.421344
23.499600% done, reward: 4077.924356
23.620000% done, reward: 4081.238882
23.734800% done, reward: 4084.504508
23.855200% done, reward: 4087.700032
23.985200% done, reward: 4085.495797
24.104700% done, reward: 4088.627761
24.203600% done, reward: 4091.744837
24.326500% done, reward: 4094.761374
24.427000% done, reward: 4097.768861
24.461900% done, reward: 4095.474666
24.580600% done, reward: 4098.390860
24.700100% done, reward: 4101.256548
24.766500% done, reward: 4104.172715
25.216500% done, reward: 4098.898165
25.337400% done, reward: 4101.686586
25.393700% done, reward: 4100.638494
25.463000% done, reward: 4103.460423
25.519800% done, reward: 4106.259379
25.969800% done, reward: 4101.177576
26.090100% done, reward: 4103.839318
26.146900% done, reward: 4106.569714
26.310500% done, reward: 4109.073841
26.429800% done, reward: 4111.615170
26.548300% done, reward: 4114.119057
26.998300% done, reward: 4109.208702
27.113100% done, reward: 4111.699296
27.230600% done, reward: 4114.148157
27.288500% done, reward: 4116.658886
27.399800% done, reward: 4119.045356
27.849800% done, reward: 4114.278253
27.906100% done, reward: 4116.735994
27.962700% done, reward: 4119.157933
28.082800% done, reward: 4121.444440
28.139100% done, reward: 4120.388675
28.256900% done, reward: 4122.637987
28.313800% done, reward: 4124.950479
28.434100% done, reward: 4127.133014
28.597000% done, reward: 4129.220120
28.675800% done, reward: 4131.406640
28.794500% done, reward: 4133.503095
29.244500% done, reward: 4128.992616
