l,t
1000,3.6138007640838623
2000,7.028268337249756
3000,10.385552883148193
4000,13.648052453994751
5000,17.194850206375122
6000,20.70202922821045
7000,24.02778458595276
8000,28.34419322013855
9000,31.860633611679077
10000,35.43288612365723
11000,39.01892399787903
12000,42.54878830909729
13000,46.04008173942566
14000,49.51168942451477
15000,53.17550182342529
16000,56.9121835231781
17000,60.417643308639526
18000,63.99786829948425
19000,67.4110836982727
20000,70.83931851387024
21000,74.3148181438446
22000,77.71045780181885
23000,81.17266798019409
24000,84.63194918632507
25000,88.02823400497437
26000,91.30426907539368
27000,94.63739895820618
28000,98.08909320831299
29000,101.52808260917664
30000,104.75432586669922
31000,108.234139919281
32000,111.65325665473938
33000,115.18856954574585
34000,118.61525917053223
35000,122.00183987617493
36000,125.37359690666199
37000,128.77495312690735
38000,132.14757180213928
39000,135.56693363189697
40000,139.06564950942993
41000,142.4660189151764
42000,145.94529104232788
43000,149.23873734474182
44000,152.55921840667725
45000,155.67526960372925
46000,158.99639344215393
47000,162.20588731765747
48000,165.51430368423462
49000,168.970685005188
50000,172.3616111278534
51000,175.80445623397827
52000,179.29529690742493
53000,182.79217100143433
54000,186.1582465171814
55000,189.63163328170776
56000,193.06737685203552
57000,196.41767716407776
58000,199.77234935760498
59000,203.1114571094513
60000,206.28379225730896
61000,209.61739349365234
62000,213.02452421188354
