0.009200% done, reward: 1031.091898
0.048500% done, reward: 2369.993666
0.077400% done, reward: 2817.875199
0.086200% done, reward: 2371.416515
0.095400% done, reward: 2103.351592
0.125600% done, reward: 2095.857915
0.160400% done, reward: 2366.594636
0.201000% done, reward: 2410.623936
0.500400% done, reward: 3399.796699
0.764500% done, reward: 3405.387969
0.849300% done, reward: 3426.233208
0.954700% done, reward: 3435.014953
1.106200% done, reward: 3437.358605
1.370300% done, reward: 3432.963367
1.482900% done, reward: 3436.695793
1.746700% done, reward: 3433.493129
2.025500% done, reward: 3430.473949
2.289700% done, reward: 3428.521304
2.477200% done, reward: 3429.137971
2.741200% done, reward: 3427.628050
2.846600% done, reward: 3430.223441
3.062100% done, reward: 3429.950896
3.178500% done, reward: 3431.812045
3.285100% done, reward: 3433.635491
3.335300% done, reward: 3395.774898
3.481300% done, reward: 3398.702917
3.593400% done, reward: 3401.889975
3.678100% done, reward: 3405.192057
3.847100% done, reward: 3406.905657
3.973000% done, reward: 3409.086130
4.125000% done, reward: 3410.716404
4.286100% done, reward: 3412.090120
4.541700% done, reward: 3412.153938
4.658100% done, reward: 3413.912482
4.821500% done, reward: 3414.988441
5.074100% done, reward: 3414.975641
5.263400% done, reward: 3415.657210
5.409300% done, reward: 3416.752071
5.570200% done, reward: 3417.622686
5.737100% done, reward: 3418.379860
5.831600% done, reward: 3419.787393
5.957700% done, reward: 3420.816845
6.046300% done, reward: 3422.128288
6.134200% done, reward: 3416.644722
