0.076500% done, reward: 9830.055544
0.083600% done, reward: 5239.911833
0.170300% done, reward: 5234.259050
0.202200% done, reward: 4204.409065
0.273500% done, reward: 4464.729195
0.357300% done, reward: 4618.143500
0.464700% done, reward: 4716.044700
0.496600% done, reward: 4349.185326
0.583900% done, reward: 4459.026139
0.716800% done, reward: 4183.013866
0.759100% done, reward: 4009.252951
0.798400% done, reward: 3844.276214
0.904400% done, reward: 3688.535693
1.354400% done, reward: 3429.793261
1.418800% done, reward: 3560.051728
1.492600% done, reward: 3465.569078
1.573200% done, reward: 3576.180777
1.582300% done, reward: 2728.450194
1.625000% done, reward: 2672.239652
1.634100% done, reward: 2262.189855
2.084100% done, reward: 2174.218164
2.190700% done, reward: 2143.459189
2.233400% done, reward: 2115.799825
2.326000% done, reward: 3651.506517
2.465900% done, reward: 2983.961889
2.531800% done, reward: 2891.590352
2.981800% done, reward: 2591.852729
3.035900% done, reward: 2577.569188
3.152500% done, reward: 2555.969441
3.602500% done, reward: 2507.543482
3.709900% done, reward: 2544.498391
3.751900% done, reward: 2741.094076
3.838600% done, reward: 2769.732098
3.913800% done, reward: 3778.762432
3.920700% done, reward: 3387.401002
3.989800% done, reward: 3388.255165
4.052800% done, reward: 3189.320496
4.098700% done, reward: 3045.507672
4.193200% done, reward: 2950.588022
4.235300% done, reward: 2894.422505
4.277000% done, reward: 2854.592236
4.365800% done, reward: 3626.612845
4.403600% done, reward: 3290.066359
4.489700% done, reward: 3402.468687
4.523400% done, reward: 3287.412132
4.559900% done, reward: 3218.715468
4.644900% done, reward: 3286.853715
5.094900% done, reward: 3179.791088
5.132700% done, reward: 3151.441313
5.168100% done, reward: 3142.707091
5.240800% done, reward: 3812.280823
5.286800% done, reward: 3573.863028
5.412600% done, reward: 3325.387480
5.451900% done, reward: 3318.481361
5.539600% done, reward: 3371.415015
5.591600% done, reward: 3963.523749
5.598500% done, reward: 3543.671927
5.696200% done, reward: 3519.923688
5.762000% done, reward: 3512.868413
5.804100% done, reward: 3495.305468
5.914700% done, reward: 3527.021361
5.977700% done, reward: 3521.068152
6.022300% done, reward: 3536.957567
6.072400% done, reward: 3654.817751
6.135400% done, reward: 3650.505251
6.585400% done, reward: 3620.786754
6.621500% done, reward: 3615.585399
6.752000% done, reward: 3595.885385
6.788900% done, reward: 3605.041608
6.797500% done, reward: 3433.444960
6.804500% done, reward: 3259.228016
6.839800% done, reward: 3255.301548
6.989200% done, reward: 3632.528905
6.995900% done, reward: 3466.556482
7.030000% done, reward: 3480.060032
7.142900% done, reward: 3793.520917
7.231500% done, reward: 3794.868139
7.297500% done, reward: 3796.153325
7.348600% done, reward: 3719.207877
7.497900% done, reward: 3719.213433
7.600300% done, reward: 3720.949544
7.705600% done, reward: 3721.739127
7.813800% done, reward: 3722.146767
7.903400% done, reward: 3722.763896
8.013800% done, reward: 3722.874941
8.116200% done, reward: 3723.068295
8.224400% done, reward: 3723.147075
8.307700% done, reward: 3723.487322
8.405200% done, reward: 3723.622524
8.554500% done, reward: 3723.255332
8.667100% done, reward: 3723.258092
8.821300% done, reward: 3722.930298
8.873200% done, reward: 3707.358372
9.043600% done, reward: 3689.283566
9.114600% done, reward: 3673.312889
9.216900% done, reward: 3676.152888
9.282000% done, reward: 3662.561911
9.335300% done, reward: 3650.320547
9.445700% done, reward: 3653.806981
9.661300% done, reward: 3634.806643
9.697200% done, reward: 3588.572974
9.807600% done, reward: 3592.430878
9.875500% done, reward: 3596.164049
10.024800% done, reward: 3599.236567
10.474800% done, reward: 3583.480002
10.573200% done, reward: 3587.004376
10.657000% done, reward: 3590.334747
10.791100% done, reward: 3593.242813
10.984200% done, reward: 3585.151059
11.151600% done, reward: 3577.279955
11.254000% done, reward: 3580.433334
11.704000% done, reward: 3568.588866
11.809300% done, reward: 3571.803140
12.259300% done, reward: 3560.882076
12.461900% done, reward: 3550.567737
12.911900% done, reward: 3489.414874
13.039600% done, reward: 3492.788247
13.142500% done, reward: 3496.056589
13.592500% done, reward: 3486.629831
13.737200% done, reward: 3489.772674
13.893800% done, reward: 3492.729823
14.343800% done, reward: 3484.055614
14.411700% done, reward: 3480.017007
14.573300% done, reward: 3482.981563
14.722700% done, reward: 3485.844669
14.774300% done, reward: 3482.026433
14.953200% done, reward: 3484.718228
15.042800% done, reward: 3487.504577
15.155400% done, reward: 3490.124988
15.605400% done, reward: 3482.890748
15.750000% done, reward: 3485.429093
15.805300% done, reward: 3482.656829
15.894800% done, reward: 3485.219315
16.044200% done, reward: 3487.563745
16.175800% done, reward: 3489.858884
16.312700% done, reward: 3492.061537
16.420900% done, reward: 3494.242752
16.560300% done, reward: 3496.288982
16.649700% done, reward: 3498.360152
16.807300% done, reward: 3500.235848
16.918000% done, reward: 3502.135565
17.000600% done, reward: 3504.024359
17.147600% done, reward: 3505.739567
17.326500% done, reward: 3502.422014
17.425500% done, reward: 3504.191149
17.559800% done, reward: 3505.847204
17.606600% done, reward: 3502.927183
17.696200% done, reward: 3504.626280
17.874500% done, reward: 3501.565264
17.951400% done, reward: 3503.255431
18.096100% done, reward: 3504.791883
18.185700% done, reward: 3506.370649
18.284700% done, reward: 3507.891891
18.370400% done, reward: 3509.391876
18.820400% done, reward: 3504.312158
19.270400% done, reward: 3499.366117
19.720400% done, reward: 3494.548544
19.869100% done, reward: 3496.052968
19.951700% done, reward: 3497.612237
20.141500% done, reward: 3495.288628
20.212500% done, reward: 3493.010095
20.281600% done, reward: 3494.567753
20.380000% done, reward: 3496.048687
20.431600% done, reward: 3493.840224
20.602200% done, reward: 3495.200426
20.714800% done, reward: 3496.603964
20.817600% done, reward: 3497.987753
20.982300% done, reward: 3499.261904
21.085100% done, reward: 3500.584731
21.227200% done, reward: 3501.829706
21.677200% done, reward: 3497.726226
21.724100% done, reward: 3495.690023
21.868800% done, reward: 3496.944362
21.977000% done, reward: 3498.215068
22.116200% done, reward: 3499.422766
22.167800% done, reward: 3497.457191
22.617800% done, reward: 3493.652611
22.772700% done, reward: 3494.852094
22.894600% done, reward: 3496.064410
22.994600% done, reward: 3497.276840
23.444600% done, reward: 3493.624723
