0.009100% done, reward: 1031.091899
0.018200% done, reward: 1031.091899
0.114600% done, reward: 5408.490367
0.146300% done, reward: 4844.488234
0.231900% done, reward: 5567.493487
0.239100% done, reward: 4583.189561
0.245800% done, reward: 3927.145039
0.253100% done, reward: 3458.135280
0.373000% done, reward: 3677.059345
0.405700% done, reward: 3681.545254
0.462300% done, reward: 3685.418553
0.469300% done, reward: 3409.277866
0.513500% done, reward: 3434.878375
0.554400% done, reward: 3456.540343
0.658800% done, reward: 3581.753734
0.737700% done, reward: 3997.955332
0.744900% done, reward: 3788.456490
0.861700% done, reward: 4138.573424
0.904900% done, reward: 4150.220975
0.941600% done, reward: 4127.392711
1.001200% done, reward: 4414.400851
1.159600% done, reward: 4452.264040
1.224900% done, reward: 4697.840418
1.319200% done, reward: 4720.087696
1.387900% done, reward: 4933.729874
1.397000% done, reward: 4777.510527
1.405800% done, reward: 4633.453986
1.412600% done, reward: 4485.910066
1.419700% done, reward: 4348.769487
1.428800% done, reward: 4234.399520
1.532000% done, reward: 4266.872178
1.602900% done, reward: 4297.280424
1.610100% done, reward: 4183.325307
1.652700% done, reward: 4169.293578
1.697500% done, reward: 4173.970515
1.709600% done, reward: 4084.092677
1.782800% done, reward: 4243.904916
1.816900% done, reward: 4229.573385
1.825700% done, reward: 4145.452744
1.832600% done, reward: 4055.722516
1.920100% done, reward: 4145.062484
1.929300% done, reward: 4069.158253
1.996300% done, reward: 4206.825120
2.003500% done, reward: 4124.014625
2.040600% done, reward: 4114.925031
2.125600% done, reward: 4139.249537
2.170500% done, reward: 4130.038360
2.302200% done, reward: 4153.006221
2.389300% done, reward: 4270.788499
2.396600% done, reward: 4196.832049
2.509900% done, reward: 4307.862074
2.546700% done, reward: 4296.285024
2.631600% done, reward: 4402.346851
2.677900% done, reward: 4389.406041
2.717400% done, reward: 4388.485415
2.794300% done, reward: 4487.406892
2.842300% done, reward: 4473.504901
2.976300% done, reward: 4565.237758
3.026000% done, reward: 4550.555008
3.146600% done, reward: 4638.378934
3.262100% done, reward: 4723.463358
3.368800% done, reward: 4806.077802
3.406400% done, reward: 4787.616339
3.488200% done, reward: 4867.469871
3.495600% done, reward: 4801.538639
3.658300% done, reward: 4875.952573
3.709300% done, reward: 4867.769928
3.878100% done, reward: 4938.773361
3.912400% done, reward: 4921.063558
3.919200% done, reward: 4859.160726
4.163500% done, reward: 4924.847318
4.260500% done, reward: 4928.856902
4.267100% done, reward: 4869.438288
4.307700% done, reward: 4853.696370
4.314500% done, reward: 4796.822436
4.325500% done, reward: 4746.574753
4.387100% done, reward: 4746.545864
4.425300% done, reward: 4718.859051
4.462000% done, reward: 4677.398460
4.912000% done, reward: 4669.535989
5.362000% done, reward: 4638.527641
5.812000% done, reward: 4607.283531
5.850800% done, reward: 4565.994792
5.908100% done, reward: 4566.315163
5.939100% done, reward: 4539.178444
6.389100% done, reward: 4508.161810
6.839100% done, reward: 4476.160326
7.289100% done, reward: 4444.514317
7.321400% done, reward: 4403.482478
7.424400% done, reward: 4403.537293
7.874400% done, reward: 4382.906403
8.324400% done, reward: 4352.483282
8.774400% done, reward: 4321.529937
8.822900% done, reward: 4280.876946
8.943400% done, reward: 4280.878057
9.393400% done, reward: 4259.887525
9.465800% done, reward: 4246.687545
9.915800% done, reward: 4233.736055
10.021000% done, reward: 4234.678277
10.184800% done, reward: 4234.413833
10.228500% done, reward: 4214.280575
10.324300% done, reward: 4216.480945
10.373100% done, reward: 4192.572894
10.823100% done, reward: 4174.370283
10.859100% done, reward: 4151.791537
10.919700% done, reward: 4163.849430
11.013600% done, reward: 4144.482732
11.463600% done, reward: 4134.303017
11.504800% done, reward: 4135.602995
11.595400% done, reward: 4139.844250
11.664200% done, reward: 4142.776492
11.672900% done, reward: 4102.895260
11.763400% done, reward: 4104.874853
11.857800% done, reward: 4098.779554
11.901400% done, reward: 4091.997051
11.937200% done, reward: 4086.511283
12.055700% done, reward: 4091.507717
12.174100% done, reward: 4094.505859
12.250500% done, reward: 4096.701761
12.368900% done, reward: 4098.101284
12.818900% done, reward: 4096.947756
12.861900% done, reward: 4090.287125
12.982500% done, reward: 4091.902208
13.103000% done, reward: 4093.223703
13.205200% done, reward: 4164.219517
13.655200% done, reward: 4135.378369
14.105200% done, reward: 4131.531401
14.555200% done, reward: 4131.513258
15.005200% done, reward: 4131.490931
15.455200% done, reward: 4128.799785
15.905200% done, reward: 4126.453925
15.943900% done, reward: 4123.263903
16.003400% done, reward: 4129.424817
16.069300% done, reward: 4133.086226
16.128900% done, reward: 4135.556332
16.578900% done, reward: 4128.833102
17.028900% done, reward: 4123.778823
17.478900% done, reward: 4119.961018
17.569500% done, reward: 4122.374248
17.638300% done, reward: 4124.403823
17.793800% done, reward: 4192.675929
17.832500% done, reward: 4194.283725
17.871000% done, reward: 4157.590798
17.957900% done, reward: 4159.199926
17.964600% done, reward: 4116.917615
18.031200% done, reward: 4127.180812
18.136400% done, reward: 4128.472774
18.230400% done, reward: 4125.584345
18.341400% done, reward: 4126.800247
18.385000% done, reward: 4123.315207
18.525200% done, reward: 4124.476100
18.975200% done, reward: 4122.414568
19.062000% done, reward: 4123.574981
19.210400% done, reward: 4124.537872
19.254000% done, reward: 4121.994100
19.422800% done, reward: 4122.916813
19.466400% done, reward: 4120.664719
19.515200% done, reward: 4109.706348
19.622800% done, reward: 4122.645424
19.708900% done, reward: 4188.762596
