l,t
1000,3.6638128757476807
2000,7.212753057479858
3000,10.673619985580444
4000,14.126249074935913
5000,17.53033709526062
6000,21.00980567932129
7000,24.50538396835327
8000,28.00798201560974
9000,31.549806594848633
10000,35.19916892051697
11000,38.793434619903564
12000,42.3579318523407
13000,45.768526792526245
14000,49.280062198638916
15000,52.4457688331604
16000,55.4931960105896
17000,58.47049283981323
18000,61.68289613723755
19000,65.0592713356018
20000,68.5363540649414
21000,71.94743299484253
22000,75.3657717704773
23000,78.8062105178833
24000,82.24599623680115
25000,85.90916538238525
26000,89.73390483856201
27000,93.54491710662842
28000,97.2083375453949
29000,101.65390920639038
30000,106.10717511177063
31000,110.89721632003784
32000,114.69827055931091
33000,118.16340470314026
34000,121.57798480987549
35000,125.02225065231323
36000,128.47453045845032
37000,131.8096399307251
38000,135.0035638809204
39000,138.4170958995819
40000,141.5959029197693
41000,144.92197036743164
42000,148.2555251121521
43000,151.52131938934326
44000,155.03666424751282
45000,158.47310781478882
46000,161.95251035690308
47000,165.34125518798828
48000,168.77823042869568
49000,172.12051248550415
50000,176.25570726394653
51000,180.05630087852478
52000,183.74517273902893
53000,187.5652003288269
54000,191.23010349273682
55000,195.03850531578064
