0.034600% done, reward: 3713.638268
0.074200% done, reward: 3713.638266
0.082700% done, reward: 2818.507577
0.198700% done, reward: 4549.477895
0.287300% done, reward: 5600.237861
0.514400% done, reward: 6249.438953
0.617500% done, reward: 5700.785399
0.749500% done, reward: 5163.450648
0.878400% done, reward: 5181.626575
0.924700% done, reward: 4929.504034
0.961000% done, reward: 4743.999257
0.999800% done, reward: 4656.568650
1.115700% done, reward: 4835.683320
1.154600% done, reward: 4671.076129
1.293700% done, reward: 4560.707683
1.743700% done, reward: 4198.965662
1.782500% done, reward: 4140.625892
1.902400% done, reward: 4227.045139
1.941200% done, reward: 4179.780377
2.076700% done, reward: 4242.000815
2.175100% done, reward: 4293.150315
2.221400% done, reward: 4263.559920
2.556100% done, reward: 4976.813256
2.658500% done, reward: 5013.690241
2.987000% done, reward: 5002.048708
3.236400% done, reward: 5002.505718
3.335700% done, reward: 5012.311672
3.438100% done, reward: 5018.687597
3.534200% done, reward: 5023.526410
3.757300% done, reward: 5022.114846
3.852200% done, reward: 5025.539890
4.302200% done, reward: 4888.433894
4.399600% done, reward: 4903.317588
4.500300% done, reward: 4915.633365
4.599500% done, reward: 4926.090427
4.762000% done, reward: 4933.618815
4.945600% done, reward: 4939.696328
5.027700% done, reward: 4947.028537
5.253700% done, reward: 4950.810925
5.477400% done, reward: 4954.213612
