0.037400% done, reward: 3705.101177
0.112500% done, reward: 6769.161685
0.142600% done, reward: 5751.602445
0.151800% done, reward: 4571.474808
0.158500% done, reward: 3785.805479
0.167700% done, reward: 3326.212266
0.201600% done, reward: 3381.558836
0.244500% done, reward: 3423.068765
0.251800% done, reward: 3114.291872
0.287100% done, reward: 3175.175078
0.358600% done, reward: 3781.174308
0.435100% done, reward: 3775.230115
0.469900% done, reward: 3770.200414
0.535200% done, reward: 4204.832919
0.571900% done, reward: 4172.718986
0.787000% done, reward: 4507.052520
0.833900% done, reward: 4460.883276
0.945000% done, reward: 4754.895932
0.951600% done, reward: 4538.886498
1.020600% done, reward: 4804.281061
1.309300% done, reward: 5021.145981
1.316200% done, reward: 4822.360754
1.336900% done, reward: 4708.951785
1.432800% done, reward: 4566.369469
1.882800% done, reward: 4352.309083
1.919700% done, reward: 4217.555369
2.021500% done, reward: 4051.692283
2.132800% done, reward: 4051.685037
2.244000% done, reward: 4051.686647
2.330900% done, reward: 4052.272597
2.780900% done, reward: 3967.346873
2.818400% done, reward: 3852.604079
2.936400% done, reward: 3860.850457
3.134600% done, reward: 3861.016318
3.344200% done, reward: 3860.825698
3.380900% done, reward: 3809.419735
3.424000% done, reward: 3775.197208
3.581100% done, reward: 3788.514036
3.657700% done, reward: 3799.138202
4.107700% done, reward: 3753.682715
4.224500% done, reward: 3767.113856
4.267700% done, reward: 3744.066505
4.425400% done, reward: 3745.817817
4.468500% done, reward: 3729.476547
4.575100% done, reward: 3741.287604
4.681700% done, reward: 3750.736450
4.787800% done, reward: 3758.471276
4.918100% done, reward: 3740.289770
5.005100% done, reward: 3747.780540
5.455100% done, reward: 3723.745369
5.629700% done, reward: 3969.089310
5.666000% done, reward: 3844.665354
6.116000% done, reward: 3824.702809
6.417500% done, reward: 3812.306562
6.458700% done, reward: 3767.352656
6.908700% done, reward: 3673.716111
6.951800% done, reward: 3663.017019
7.089500% done, reward: 3654.143706
7.175800% done, reward: 3698.345210
7.209700% done, reward: 3656.178964
7.254000% done, reward: 3636.728711
7.316900% done, reward: 3682.347600
7.395700% done, reward: 3704.789567
7.458600% done, reward: 3718.549192
7.908600% done, reward: 3659.248124
7.986600% done, reward: 3675.383274
8.037700% done, reward: 3677.330843
8.118900% done, reward: 3688.912317
8.204500% done, reward: 3668.935684
8.269700% done, reward: 3679.182157
8.719700% done, reward: 3651.728868
8.833500% done, reward: 3661.341682
8.914000% done, reward: 3669.703636
9.364000% done, reward: 3648.810232
9.814000% done, reward: 3630.702615
9.949800% done, reward: 3623.173006
10.043100% done, reward: 3860.465494
10.116100% done, reward: 3861.331948
10.150200% done, reward: 3782.156878
10.239400% done, reward: 3801.821639
10.285500% done, reward: 3777.207438
10.336300% done, reward: 3791.689194
10.458700% done, reward: 3764.313037
10.489500% done, reward: 3746.731508
10.535600% done, reward: 3739.178077
10.657000% done, reward: 3725.134539
10.700100% done, reward: 3716.777851
10.766300% done, reward: 3725.227906
10.832700% done, reward: 3732.682831
11.282700% done, reward: 3718.257199
11.732700% done, reward: 3705.350056
11.819400% done, reward: 3712.831195
11.861100% done, reward: 3712.966483
12.311100% done, reward: 3700.294504
12.444300% done, reward: 3689.696197
12.487400% done, reward: 3682.798613
12.710200% done, reward: 3703.151297
12.805600% done, reward: 3719.186578
12.834900% done, reward: 3718.988424
12.995100% done, reward: 3729.942510
13.123900% done, reward: 3738.739692
13.168200% done, reward: 3725.946785
13.263300% done, reward: 3733.750873
13.465200% done, reward: 3719.937434
13.545700% done, reward: 3727.091979
13.587800% done, reward: 3717.445591
13.633300% done, reward: 3710.539858
13.735000% done, reward: 3716.835363
13.808800% done, reward: 3722.520472
13.853100% done, reward: 3716.666318
13.897400% done, reward: 3711.431956
14.026900% done, reward: 3716.313239
14.071200% done, reward: 3711.290919
14.115500% done, reward: 3707.020829
14.217200% done, reward: 3711.553312
14.297000% done, reward: 3706.583578
14.465100% done, reward: 3710.560159
14.509400% done, reward: 3706.967295
14.701700% done, reward: 3702.856370
14.782300% done, reward: 3706.787807
14.921700% done, reward: 3710.287327
14.971100% done, reward: 3706.353739
15.015400% done, reward: 3703.276075
15.059700% done, reward: 3700.584500
15.130700% done, reward: 3704.012257
15.172800% done, reward: 3700.729991
15.303000% done, reward: 3703.823535
15.370300% done, reward: 3706.883885
15.454300% done, reward: 3917.453021
15.526200% done, reward: 3917.916623
15.616400% done, reward: 3917.605001
15.646600% done, reward: 3864.336943
15.718300% done, reward: 3875.148664
15.809100% done, reward: 3882.113184
15.920700% done, reward: 3848.814910
15.950800% done, reward: 3830.812351
16.032300% done, reward: 3840.460165
16.104200% done, reward: 3848.252171
16.176500% done, reward: 3854.624662
16.626500% done, reward: 3831.660966
16.698200% done, reward: 3838.332710
16.772900% done, reward: 3844.035200
16.803100% done, reward: 3834.728496
16.926800% done, reward: 3839.708645
17.376800% done, reward: 3824.376390
17.442100% done, reward: 3825.568617
17.513800% done, reward: 3830.454144
17.587100% done, reward: 3834.845276
17.679300% done, reward: 3838.748965
17.791500% done, reward: 3832.117448
17.827100% done, reward: 3827.487568
17.897000% done, reward: 3831.281307
17.968900% done, reward: 3834.765264
18.113300% done, reward: 3829.299651
18.179800% done, reward: 3832.614186
18.210000% done, reward: 3828.041018
18.240100% done, reward: 3823.778729
18.334500% done, reward: 3819.804954
18.397600% done, reward: 3823.006616
18.469300% done, reward: 3825.987460
18.568900% done, reward: 3821.610210
18.639300% done, reward: 3824.459768
18.681600% done, reward: 3822.443515
18.753400% done, reward: 3825.108690
18.825200% done, reward: 3827.629853
18.915900% done, reward: 3829.980211
18.987600% done, reward: 3832.247222
19.096400% done, reward: 3828.759160
19.185600% done, reward: 3830.912799
19.230900% done, reward: 3829.047794
19.331300% done, reward: 3826.238052
19.395400% done, reward: 3828.345864
19.477100% done, reward: 3830.330025
19.548800% done, reward: 3832.244451
19.650400% done, reward: 3829.277339
19.752800% done, reward: 3826.433856
19.822600% done, reward: 3828.313636
19.889100% done, reward: 3830.123243
19.959100% done, reward: 3831.856702
20.033800% done, reward: 3833.516527
20.126100% done, reward: 3835.088234
20.195900% done, reward: 3836.633623
20.294800% done, reward: 3834.247846
20.324900% done, reward: 3831.936178
20.397100% done, reward: 3833.452304
20.494300% done, reward: 3834.883185
20.566000% done, reward: 3836.298617
20.635900% done, reward: 3837.669262
20.711700% done, reward: 3838.987524
20.793300% done, reward: 3840.256032
20.865000% done, reward: 3841.496312
20.895100% done, reward: 3839.360345
20.993000% done, reward: 3836.932312
21.065300% done, reward: 3838.165878
21.154800% done, reward: 3839.343006
21.249700% done, reward: 3840.479428
21.281200% done, reward: 3838.506342
21.352900% done, reward: 3839.647589
21.424600% done, reward: 3840.756689
21.456100% done, reward: 3838.861964
21.530800% done, reward: 3839.948342
21.980800% done, reward: 3836.422828
22.023100% done, reward: 3835.321095
22.473100% done, reward: 3831.949242
22.549900% done, reward: 3833.066846
22.592200% done, reward: 3832.054287
22.622300% done, reward: 3830.443402
22.694000% done, reward: 3831.542780
22.724200% done, reward: 3829.974755
22.796000% done, reward: 3831.053011
22.865800% done, reward: 3832.107085
22.895900% done, reward: 3830.591458
22.973700% done, reward: 3831.618971
23.080000% done, reward: 3829.955999
23.530000% done, reward: 3827.072141
23.600400% done, reward: 3828.111039
24.050400% done, reward: 3825.312716
24.152000% done, reward: 3823.839516
24.216100% done, reward: 3824.885035
24.287800% done, reward: 3825.901433
24.318000% done, reward: 3824.596394
24.357800% done, reward: 3823.322949
24.455400% done, reward: 3821.822559
24.905400% done, reward: 3819.293785
24.935500% done, reward: 3818.113380
25.017000% done, reward: 3819.129004
25.088700% done, reward: 3820.131677
25.160400% done, reward: 3821.114335
25.241900% done, reward: 3822.070061
25.691900% done, reward: 3819.687613
25.785000% done, reward: 3820.630021
25.893900% done, reward: 3819.399534
25.926800% done, reward: 3818.505558
25.998700% done, reward: 3819.447772
26.082700% done, reward: 3820.363709
26.191400% done, reward: 3819.183381
26.275500% done, reward: 3820.084902
26.355100% done, reward: 3820.973115
26.397400% done, reward: 3820.370539
26.469600% done, reward: 3821.245437
26.499800% done, reward: 3820.212871
26.571600% done, reward: 3821.074089
26.670700% done, reward: 3819.958577
26.705200% done, reward: 3818.960989
26.777100% done, reward: 3819.810726
26.840300% done, reward: 3820.651743
26.944100% done, reward: 3819.527525
26.975500% done, reward: 3818.567600
27.057100% done, reward: 3819.386386
27.122300% done, reward: 3819.603190
27.152400% done, reward: 3818.668722
27.182500% done, reward: 3817.750381
27.224800% done, reward: 3817.241076
27.674800% done, reward: 3815.350752
27.704900% done, reward: 3814.480230
27.779000% done, reward: 3817.261299
27.909200% done, reward: 3819.782767
28.102200% done, reward: 3816.507635
28.169400% done, reward: 3819.042561
28.214900% done, reward: 3816.744625
28.277500% done, reward: 3819.161636
28.331900% done, reward: 3817.049205
28.403100% done, reward: 3819.334365
28.451700% done, reward: 3816.770463
28.497200% done, reward: 3814.763163
28.625800% done, reward: 3816.857517
28.670100% done, reward: 3814.876845
28.715600% done, reward: 3813.035760
28.819900% done, reward: 3812.084034
28.909300% done, reward: 3814.147351
29.068100% done, reward: 3816.025554
29.196400% done, reward: 3817.876501
29.250800% done, reward: 3816.170784
29.293000% done, reward: 3814.070313
29.387100% done, reward: 3815.903428
29.545900% done, reward: 3817.582508
29.613100% done, reward: 3819.325816
29.702500% done, reward: 3820.979679
29.783000% done, reward: 3822.589038
29.913200% done, reward: 3824.081374
30.103300% done, reward: 3821.848817
30.147600% done, reward: 3820.320304
30.191900% done, reward: 3818.740110
30.266100% done, reward: 3820.266334
30.310400% done, reward: 3818.736096
30.381400% done, reward: 3820.219847
30.452400% done, reward: 3821.659279
30.534700% done, reward: 3823.043612
30.602000% done, reward: 3824.404506
30.646300% done, reward: 3823.011834
30.806500% done, reward: 3824.234576
30.850800% done, reward: 3822.795724
30.909600% done, reward: 3821.392261
30.998900% done, reward: 3822.660737
31.035100% done, reward: 3821.065354
31.229700% done, reward: 3819.354004
31.288500% done, reward: 3818.111474
31.363100% done, reward: 3816.861386
31.421900% done, reward: 3815.639633
31.478400% done, reward: 3814.447606
31.609200% done, reward: 3815.652936
31.769400% done, reward: 3816.801371
31.850000% done, reward: 3817.995622
32.072600% done, reward: 3815.129876
32.240700% done, reward: 3816.236854
32.407600% done, reward: 3817.319159
32.466400% done, reward: 3816.244717
32.543400% done, reward: 3817.380617
32.587700% done, reward: 3816.365280
32.768900% done, reward: 3817.385837
32.819100% done, reward: 3816.668089
32.864600% done, reward: 3815.660896
33.059200% done, reward: 3814.291997
33.103500% done, reward: 3813.297410
33.553500% done, reward: 3810.812941
33.625300% done, reward: 3811.625835
33.660900% done, reward: 3810.944950
33.692400% done, reward: 3810.110666
33.762400% done, reward: 3810.911420
33.792600% done, reward: 3810.091163
33.864300% done, reward: 3810.879139
34.314300% done, reward: 3809.141847
34.364400% done, reward: 3808.529269
34.498100% done, reward: 3809.577257
34.627500% done, reward: 3810.607240
34.772700% done, reward: 3811.604205
34.964900% done, reward: 3810.379190
35.133000% done, reward: 3811.341297
35.177300% done, reward: 3810.496908
35.221600% done, reward: 3809.610801
35.283200% done, reward: 3808.735758
35.357300% done, reward: 3809.745484
35.401600% done, reward: 3808.890927
35.851600% done, reward: 3806.710654
35.922100% done, reward: 3807.494727
35.993800% done, reward: 3808.266641
36.065500% done, reward: 3809.027381
36.095600% done, reward: 3808.240477
36.127000% done, reward: 3807.461076
36.196800% done, reward: 3808.212390
36.268500% done, reward: 3808.952083
36.340300% done, reward: 3809.681403
36.410100% done, reward: 3810.401619
36.480500% done, reward: 3811.111610
36.569600% done, reward: 3811.802035
36.640400% done, reward: 3812.492631
36.738400% done, reward: 3811.734806
36.804900% done, reward: 3812.418769
36.836300% done, reward: 3811.663909
36.902800% done, reward: 3812.339296
36.969300% done, reward: 3813.005796
37.000700% done, reward: 3812.261472
37.084800% done, reward: 3812.911064
37.158000% done, reward: 3813.557675
37.188200% done, reward: 3812.826644
37.287200% done, reward: 3812.028465
37.389100% done, reward: 3811.201884
37.454400% done, reward: 3811.388371
37.526600% done, reward: 3812.024759
37.598300% done, reward: 3812.653480
37.670100% done, reward: 3813.274403
37.736600% done, reward: 3813.890176
37.813500% done, reward: 3814.493580
37.888500% done, reward: 3815.090575
37.918800% done, reward: 3814.392575
37.948900% done, reward: 3813.703325
37.984500% done, reward: 3813.149613
38.050500% done, reward: 3813.744512
38.122200% done, reward: 3814.329820
38.186300% done, reward: 3814.911721
38.258700% done, reward: 3815.483148
38.293200% done, reward: 3814.810364
38.323300% done, reward: 3814.148510
38.353400% done, reward: 3813.493472
38.423600% done, reward: 3814.060927
38.500600% done, reward: 3814.619027
38.530800% done, reward: 3813.971099
38.602600% done, reward: 3814.525702
38.631300% done, reward: 3813.885128
38.703000% done, reward: 3814.434088
38.774700% done, reward: 3814.977016
38.844900% done, reward: 3815.514659
38.875100% done, reward: 3814.883525
38.968100% done, reward: 3815.406406
39.069900% done, reward: 3814.658662
39.101400% done, reward: 3814.041356
39.131800% done, reward: 3813.436359
39.216300% done, reward: 3813.959278
39.318200% done, reward: 3813.280341
39.390000% done, reward: 3813.803716
39.462200% done, reward: 3814.321469
39.560000% done, reward: 3814.823673
39.625200% done, reward: 3814.956666
39.690500% done, reward: 3815.089134
39.762200% done, reward: 3815.589958
39.834400% done, reward: 3816.085504
39.865900% done, reward: 3815.495286
39.937600% done, reward: 3815.986510
40.009300% done, reward: 3816.472812
40.090900% done, reward: 3816.950510
40.121100% done, reward: 3816.368508
40.218900% done, reward: 3815.679932
40.288800% done, reward: 3816.158897
40.370100% done, reward: 3816.628908
40.401600% done, reward: 3816.058815
40.485900% done, reward: 3816.523658
40.557800% done, reward: 3816.988609
40.628100% done, reward: 3817.449689
40.700600% done, reward: 3817.905601
40.730800% done, reward: 3817.344052
40.829400% done, reward: 3816.733028
40.894700% done, reward: 3816.843965
40.995200% done, reward: 3816.239154
41.088000% done, reward: 3816.682859
41.238900% done, reward: 3817.101818
41.305400% done, reward: 3817.546719
41.404800% done, reward: 3816.951132
41.512100% done, reward: 3816.360089
41.584400% done, reward: 3816.800283
41.656100% done, reward: 3817.236702
42.106100% done, reward: 3816.140651
42.177800% done, reward: 3816.576122
42.207900% done, reward: 3816.054121
42.657900% done, reward: 3814.977940
42.757400% done, reward: 3814.413934
42.787600% done, reward: 3813.907203
42.859000% done, reward: 3814.343004
42.930800% done, reward: 3814.774891
43.002500% done, reward: 3815.203038
43.069000% done, reward: 3815.629195
43.177100% done, reward: 3815.077814
43.210000% done, reward: 3814.671128
43.660000% done, reward: 3813.642250
43.694500% done, reward: 3813.154800
43.761000% done, reward: 3813.580607
43.867700% done, reward: 3813.049227
44.317700% done, reward: 3812.044455
44.360000% done, reward: 3811.780422
44.433800% done, reward: 3812.202528
44.541900% done, reward: 3811.661119
44.623500% done, reward: 3812.077784
44.718800% done, reward: 3811.629243
44.800400% done, reward: 3812.042623
44.830600% done, reward: 3811.582933
45.280600% done, reward: 3810.616798
45.352400% done, reward: 3811.032296
45.458600% done, reward: 3810.519989
45.523900% done, reward: 3810.641678
45.589100% done, reward: 3810.760431
45.619200% done, reward: 3810.316317
45.713700% done, reward: 3809.875209
45.785400% done, reward: 3810.283792
45.857600% done, reward: 3810.689015
45.949700% done, reward: 3811.085088
46.021400% done, reward: 3811.484157
46.093100% done, reward: 3811.880121
46.128700% done, reward: 3811.526631
46.227500% done, reward: 3811.001464
46.327000% done, reward: 3810.526507
46.432200% done, reward: 3810.055440
46.503900% done, reward: 3810.449300
46.574300% done, reward: 3810.840552
46.676800% done, reward: 3810.373028
46.747200% done, reward: 3810.761629
46.853100% done, reward: 3810.276522
46.919100% done, reward: 3810.663829
46.990800% done, reward: 3811.046601
47.063000% done, reward: 3811.426386
47.147500% done, reward: 3811.799880
47.177600% done, reward: 3811.386034
47.252300% done, reward: 3811.759692
47.324000% done, reward: 3812.131439
47.394200% done, reward: 3812.500907
47.424300% done, reward: 3812.089224
47.515900% done, reward: 3812.450219
47.612500% done, reward: 3812.041573
47.689500% done, reward: 3812.404180
47.766500% done, reward: 3812.764188
47.838400% done, reward: 3813.123007
47.933100% done, reward: 3813.473062
48.051300% done, reward: 3813.814254
48.081400% done, reward: 3813.410839
48.162200% done, reward: 3813.507006
48.234100% done, reward: 3813.856924
48.337700% done, reward: 3813.382337
48.367800% done, reward: 3812.986049
48.439500% done, reward: 3813.334183
48.509700% done, reward: 3813.680306
48.582100% done, reward: 3814.023468
48.681100% done, reward: 3813.588722
48.779900% done, reward: 3813.198401
48.864200% done, reward: 3813.536588
48.953400% done, reward: 3813.871191
49.019900% done, reward: 3814.209408
49.124600% done, reward: 3813.781378
49.195000% done, reward: 3814.116634
49.261500% done, reward: 3814.450629
49.336200% done, reward: 3814.780295
49.366400% done, reward: 3814.395757
49.396600% done, reward: 3814.013773
49.466400% done, reward: 3814.342854
49.541300% done, reward: 3814.668467
49.613100% done, reward: 3814.992726
49.694300% done, reward: 3815.312496
49.759600% done, reward: 3815.394894
49.789800% done, reward: 3815.016695
49.835100% done, reward: 3814.797277
49.865300% done, reward: 3814.423778
49.931800% done, reward: 3814.743847
50.064100% done, reward: 3814.334743
50.168500% done, reward: 3813.927948
50.198600% done, reward: 3813.562417
50.228700% done, reward: 3813.199631
50.300100% done, reward: 3813.517314
50.330300% done, reward: 3813.155829
50.361700% done, reward: 3812.796108
50.433500% done, reward: 3813.111985
50.463600% done, reward: 3812.756298
50.553200% done, reward: 3813.066050
50.630200% done, reward: 3813.376893
50.700600% done, reward: 3813.687375
50.773100% done, reward: 3813.995437
50.844900% done, reward: 3814.301763
50.916600% done, reward: 3814.606209
50.951000% done, reward: 3814.251770
51.401000% done, reward: 3813.516790
51.465100% done, reward: 3813.822639
51.535900% done, reward: 3814.125061
51.566300% done, reward: 3813.776971
51.596500% done, reward: 3813.432169
51.697800% done, reward: 3813.053287
51.811300% done, reward: 3812.675994
51.874500% done, reward: 3812.979071
51.946300% done, reward: 3813.278372
51.991600% done, reward: 3813.082412
52.021700% done, reward: 3812.745811
52.128700% done, reward: 3812.367557
52.213300% done, reward: 3812.662231
52.243400% done, reward: 3812.329451
52.693400% done, reward: 3811.630284
52.778000% done, reward: 3811.924529
52.849700% done, reward: 3812.219935
52.949100% done, reward: 3811.902579
53.399100% done, reward: 3811.212756
53.470800% done, reward: 3811.507652
53.540700% done, reward: 3811.801263
53.576300% done, reward: 3811.539419
53.680100% done, reward: 3811.823796
53.751900% done, reward: 3812.113571
53.823700% done, reward: 3812.401695
53.895400% done, reward: 3812.688187
53.967300% done, reward: 3812.973018
54.032500% done, reward: 3813.050389
54.104200% done, reward: 3813.332633
54.138600% done, reward: 3813.011823
54.210300% done, reward: 3813.292594
54.291900% done, reward: 3813.569693
54.322000% done, reward: 3813.252361
54.772000% done, reward: 3812.587531
54.870700% done, reward: 3812.240791
54.952200% done, reward: 3812.517739
55.058600% done, reward: 3812.166344
55.094200% done, reward: 3811.915007
55.160700% done, reward: 3812.193720
55.190900% done, reward: 3811.885502
55.640900% done, reward: 3811.237077
55.751200% done, reward: 3810.894026
55.840500% done, reward: 3811.167750
55.912800% done, reward: 3811.443520
56.011800% done, reward: 3811.109386
56.071900% done, reward: 3811.189255
56.521900% done, reward: 3810.553127
56.596600% done, reward: 3810.827105
56.663100% done, reward: 3811.101287
56.693200% done, reward: 3810.804868
56.724700% done, reward: 3810.508893
56.794700% done, reward: 3810.781042
56.866400% done, reward: 3811.051400
56.896700% done, reward: 3810.757113
56.966900% done, reward: 3811.026427
57.416900% done, reward: 3810.405713
57.447100% done, reward: 3810.115930
57.490600% done, reward: 3809.956107
57.940600% done, reward: 3809.343010
58.022200% done, reward: 3809.610225
58.128100% done, reward: 3809.871263
58.158300% done, reward: 3809.586255
58.255300% done, reward: 3809.303384
58.327000% done, reward: 3809.569906
58.398700% done, reward: 3809.835064
58.470600% done, reward: 3810.098836
58.542500% done, reward: 3810.361260
58.650900% done, reward: 3809.938466
58.683800% done, reward: 3809.711501
58.713900% done, reward: 3809.433562
58.756200% done, reward: 3809.281186
58.845500% done, reward: 3809.539032
58.927200% done, reward: 3809.797046
58.991300% done, reward: 3810.057140
59.063000% done, reward: 3810.314471
59.159600% done, reward: 3810.047968
59.226100% done, reward: 3810.305034
59.297800% done, reward: 3810.559840
59.329200% done, reward: 3810.284853
59.371500% done, reward: 3810.133758
59.484100% done, reward: 3809.763443
59.530700% done, reward: 3809.622464
59.602500% done, reward: 3809.875819
59.632700% done, reward: 3809.606093
59.740400% done, reward: 3809.851548
60.190400% done, reward: 3809.278883
60.298800% done, reward: 3808.983812
60.379700% done, reward: 3809.233957
60.450500% done, reward: 3809.484766
60.480600% done, reward: 3809.220734
60.552300% done, reward: 3809.470197
60.657700% done, reward: 3809.178198
60.729500% done, reward: 3809.426567
60.759700% done, reward: 3809.164566
60.830400% done, reward: 3809.411988
60.934700% done, reward: 3809.123437
60.964800% done, reward: 3808.864629
61.030100% done, reward: 3808.938994
61.119400% done, reward: 3809.181256
61.185900% done, reward: 3809.426481
61.257600% done, reward: 3809.669629
61.332300% done, reward: 3809.911099
61.403700% done, reward: 3810.152029
61.487900% done, reward: 3810.389561
61.518100% done, reward: 3810.132088
